Filename	Identifier	Title	Name	Role	Publication_Statement	Date_Issued	Language	Place	Extent	Description	Subject	To	From	Address	Message	Postmark_Date	On_Back	On_Front	General_Note		
80/114	PC023527	PLOWING, ALBERTA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Alberta	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of five teams of horses working to plough a field in Alberta	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
81/114	PC027686	HOME OF MR. NELSON BEDFORD, GLENGROSS MANITOBA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Glengross	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of a typical farm scene: large farm buildings are foregrounded by a herd of cattle and a few bushels of wheat	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
82/114	PC016774	HOUSE AND BARN OF MR. BRADSHAW, NEAR MORDEN, MANITOBA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Morden	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of farm buildings; foregrounded by a field of wheat	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
83/114	PC018572	HOUSE OF MR. J.P. LAYCOCK, RUSSELL, MANITOBA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Russell	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of a farm home and buildings, foregrounded by a field	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
84/114	PC031455	FARM OF ALBERIE DECHIEF, DELORAINE, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Deloraine	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of a farm home and out-buildings	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
85/114	PC018536	FARM OF MR. J. E. MARPLES, DELEAU, MANITOBA, CANADA	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Deleau	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of a farm home; four women and eight horses stand in front of it	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
86/114	PC016767	CARMAN, MANITOBA, CANADA. A PROSPEROUS TOWN, BUILT UP ALTOGETHER THROUGH FERTILITY  OF SURROUDING DISTRICT.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Carman	1 postcard: col. ; 8.5 x 14 cm	Coloured aerial photograph of Carman, Manitoba	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
87/114	PC016800	PORTAGE LA PRAIRIE. THE OLDEST TOWN IN MANITOBA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Portage La Prairie	1 postcard: col. ; 8.5 x 14 cm	Coloured aerial photograph of Portage La Prairie, Manitoba	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
88/114	PC024967	FLOUR AND SAW MILLS AT BRANDON, MANITOBA, ON THE ASSINIBOINE RIVER, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Brandon	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph from the Assiniboine River facing the flour and saw mills on the bank	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
89/114	PC017542	MR. BENJAMIN F. HOLDEN'S FARM, INDIAN HEAD, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Saskatchewan, Indian Head	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of a near-empty field in Indian Head, Saskatchewan; farm buildings can be seen far in the distance	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
90/114	PC023248	MR. THOMAS INGRAM, GRISWOLD, MANITOBA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Griswold	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of farm buildings in Griswold, Manitoba	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada	Mr. A M[?]kie					160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
91/114	PC032493	CATTLE ON THE COCHRANE RANCH, WESTERN CANADA.	Canadian Department of Immigation	Issuer			English		1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of a herd of cattle	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada	Mrs. G. Harris		24 Kerndwarth Road Elane	My Dear aunty G I am sending you this post card as I did Auny Mary Covetad[?] f[r]om [Caretac]		160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
92/114	PC027386	MR. CHAS L. ROMERIL, STERLING SETTLEMENT, SOUTH ALBERTA, CANADA	Canadian Department of Immigation	Issuer			English	Canada, Alberta, Stirling	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of a farm in the Sterling Settlement	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada	Miss Leusley		6. Castle Green Penistone Nr Sheffield	Am delighted that you have got so near. Could you come next week-end but one; that will be Feb.16th. It will be lovely if you can, just send a s.e. & say you are coming. The Social was ripping It is most bitterly cold here to day. With love S-B- Shall write next Sunday as usual just send me about coming 	ROTHERHAM 10:30 PM FE 5 06	160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND		Sterling' assumed as 'Stirling'		
93/114	PC015601	A LAND FOR CATTLE	Canadian Department of Immigation	Issuer			English		1 postcard: col. ; 8.5 x 14 cm	Coloured aerial photograph of a prairie farm	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada	Mr. W. Moore	Alice	2 Bedford Place Rocky Hill Maidstone.	Dear Will How is your [n]eck? I'm wondering. I have sent your umbrella, old hay. Do not forget my gl[ass] will you? Tell mum I hope she tries haven[sic] very nice time in London, & I can help May. I hope her face is quite better by now, Mind you as not forget my in-struction for Saturday night, if your week is not quite better Much love. Alice	ROCHESTER 10 PM NO 9 05 KENT	160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
94/114	PC034218	I AM HAVING A HIGH TIME IN WINNIPEG.					English	Canada, Manitoba, Winnipeg	1 postcard: sepia ; 8.3 x 14 cm	B&w photograph of a street in Winnipeg; has been manipulated to appear as if two airplanes are flying low within the city	Collages ; Streets ; Airplanes										
95/114	PC021444	HERE IS WHERE WE GROW GOOD WHEAT AT RED DEER					English	Canada, Alberta, Red Deer	1 postcard: sepia ; 8.5 x 14 cm	B&w photograph appearing to show a farmer cutting a field of at least 12 feet-tall wheat with a team of horses	Collages ; Farming ; Wheat										
96/114	PC024419	HOW CORNY CAN WE GET? WINNIPEG, MANITOBA	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Manitoba, Winnipeg	1 postcard: b&w ; 8.7 x 14 cm	B&w photograph appearing to show farmers sawing log-sized cobs of corn; also depicts a oversized hog in the background	Collages ; Agriculture ; Farming ; Swine ; Corn							12			
97/114	PC034939	GETTING CANNED! McCreary, Man.	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Manitoba, McCreary	1 postcard: b&w ; 9 x 14 cm	B&w photograph appearing to show a family canning boulder-sized peaches	Collages ; Farming ; Peaches							18			
98/114	PC032414	A GOOD DAY FOR DUCKS AT NIPAWIN SASK., CANADA	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Saskatchewan, Nipawin	1 postcard: b&w ; 8.7 x 14 cm	B&w photograph appearing to show two hunters shaking hands amidst the corpses of dozens of ducks; the air and water behind them are also filled with the birds	Collages ; Ducks ; Duck shooting							14			
99/114	PC034926	"GOOD SHOOTING HERE ""THE PAS"", MAN."	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Manitoba, Nipawin	1 postcard: sepia ; 8.7 x 14 cm	B&w photograph appearing to show a sky full of Canada Geese; a hunter aims at them from behind a blind	Collages ; Blinds (Shelters) ; Ducks ; Duck shooting							22			
100/114	PC034937	TAKING OUR GEESE TO MARKET McCreary, Man.	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Manitoba, McCreary	1 postcard: b&w ; 9 x 14 cm	B&w photograph appearing to show two men leading roughly 12-foot-tall ducks down a road	Collages ; Ducks							17			
101/114	PC024464	TAKING OUR GEESE TO MARKET AT CALGARY, ALBERTA	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Alberta, Calgary	1 postcard: b&w ; 8.7 x 13.7	B&w photograph appearing to show two men leading roughly 12-foot-tall ducks down a road	Collages ; Ducks	Mr. F. Patterson	Mary, Fred & Elva	Olds, Alta.	Dear Freddie & [Mya], We are in Calgary. We have been coming up but haven't got there yet. We are taking the folks here to Banff for week-end We will be up Mon. Rainny[sic] weather. We got in here Wed. Well be seeing you Love Mary, Fred & Elva	CALGARY JUN 8 1:30 AM 1946		17			
102/114	PC034868	THE ONE THAT GOT AWAY PORTAGE LA PRAIRIE, MAN. CANADA	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Manitoba, Portage La Prairie	1 postcard: sepia ; 8.7 x 13.7 cm	B&w photograph appearing to show a person attempting to catch an enourmous fish from a small rowboat	Collages ; Fish ; Fishing							5			
103/114	PC028343	LOADING OUR CATCH PORTAGE LA PRAIRIE, MAN. CANADA	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Manitoba, Portage La Prairie	1 postcard: sepia ; 8.7 x 13.7 cm	B&w photograph appearing to depict four fishermen attempting to load 9 human-sized fish onto the roof of a car	Collages ; Fish ; Fishing ; Automobiles							2			
104/114	PC016217	LOADING TOMATOES FOR SHIPMENT WINNIPEG, MANITOBA	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Manitoba, Winnipeg	1 postcard: b&w ; 8.7 x 13.7 cm	B&w photograph appearing to depict a man loading giant tomatoes onto a train bed	Collages ; Tomatoes ; Transportation ; Trains	Lelter & Paul			Dear Lelter & Paul Glad to hear you are both able to get away on a holiday trip, we trust you will enjoy every minute of the time you are away & will feel much refreshed in your return Many thanks for Birthday rememberance, good of you to think of me like this. The sox were much needed as well, had worn out the heels & toes of all mine. Sorry we had to miss our visit to Baskerville this year, the work around the house kept me busy and staggered the [b]ank well. The summer here has been very		Writte in m.s.: Nov. 2/5[3]1	16			
105/114	PC031294	THERE ARE PLENTY OF BIG FISH AT JASPER PARK, CANADA	Canadian Post Card Co.	Publisher	Copyright - Canadian Post Card Co., Limited, Toronto		English	Canada, Alberta, Jasper	1 postcard: sepai ; 8.7 x 13.7 cm	B&w photograph appearing to show four fishermen trying to catch four oversized fish from the shore	Collages ; Fish ; Fishing	Miss E Harrison	Johnny	53 [Surp] Rd., Old Town, East bourne Sr., England	Dear Eileen This is my favourite sport. Johnny	JASPER PM 3 XI 49 ALBERTA					
106/114	PC029649	Fighting Grasshoppers Out West - Shaunavon, Sask.					English	Canada, Saskatchewan, Shaunavon	1 postcard: b&w ; 8.7 x 14 cm	B&w photograph appearing to depict a young boy brandishing an axe at a child-sized grasshopper	Collages ; Farming ; Grasshoppers										
107/114	PC015313	"IT PAYS TO GO ""UP IN THE AIR!"" IN WINNIPEG"					English	Canada, Manitoba, Winnipeg	1 postcard: b&w ; 8.5 x 14 cm	B&w photograph of a street in Winnipeg; has been manipulated to appear as if two airplanes are flying low within the city; a boy watches on	Collages ; Airplanes ; Streets	Mr. H. Roberts	Lawea	42 Hartington St. Barrow in Furness Lancashire England	I wonder if you have forgotten all about me, any-way I will refresh your memory Harold. I am still alive, and was disappointed I did not see you to say good-bye. I may come over some-day you know & should not like to think I was altogether forgotten. Lawea						
108/114	PC023513	A LOAD OF ALBERTA GROWN POTATOES	Progress Photo Co.	Publisher	Copy T. Progress Photo Co.		English	Canada, Alberta	1 postcard: b&w ; 8.5 x 14 cm	B&w photograph appearing to show a horse-drawn cart carrying oversized potatoes	Collages ; Potatoes ; Transportation	Master Euqeur A[lick]		South Beach Jud. 1151 Vestula Ave	Darling Honour Boy These are big potatoes aren't they I think our would last us gardening and supper. Today X was out shooting ducks - [Got] about 20 - they were worth 100 [cute] get [study] [we] [muddle] [lahe] & I didn't ban a [vash] so Jim got there around the [?] Hope you are having lots of [fun] Your loving Papa	CALGARY, ALTA. AUG 26 9-AM 1910		No 84.			
109/114	PC015110	THERE'S SOMETHING TO CROW ABOUT AT EDMONTON.	E.I.	Publisher	E.I. Copyright 1910	1910	English	Canada, Alberta, Edmonton	1 postcard: b&w ; 8.5 x 13.7 cm	B&w photograph appearing to depict a building-sized chicken standing next to the Arlington apartments in Edmonton	Collages ; Chickens ; Livestock	Master A Lyon	Mother	Stry p O Alta	I got here this morning I have not seen papa mother	EDMONTON MR 10 ALTA		ARLINGTON APARTMENTS EDMONTON			
110/114	PC029975	"A ""Dog-on-nice""-town Calgary, Alta."					English	Canada, Alberta, Calgary	1 postcard: sepia ; 8.7 x 13.7 cm	B&w photograph manipulated to look as if an oversized dog is sitting on top of a building	Collages ; Dogs ; Streets	W. Roberts	lynn	Ravenscroft House, Golden's Green. London. NW. G.B.	26/11/07 The best town in the best province in the best colony. Lynn			8th Ave			
111/114	PC030003	A DOG-ON-NICE-TOWN CALGARY, ALTA.					English	Canada, Alberta, Calgary	1 postcard: sepia ; 8.7 x 13.7 cm	B&w photograph manipulated to look as if an oversized dog is sitting on top of a building	Collages ; Dogs ; Streets	Mrs David Steeve	Randy	Academy St Hillsbor[o] AB.	We are having nice weather here love to all Randy	CALGARY ALTA JAN 6 4-PM 1910		8th Avenue			
112/114	PC029976	WE ARE FEELING PRETTY FOXY AT CALGARY.					English	Canada, Alberta, Calgary	1 postcard: sepia ; 8.7 x 13.7 cm	B&w photograph manipulated to look as if a building-sized fox is standing on a streetcar	Collages ; Streets ; Foxes ; Street railroads	Miss Monaish	Mil	Highland Creek Out	Calgary Jan 14 '10 How are [the] pins these days Mil	CALGARY ALTA JAN 31 12-M 1910	Written in m.s.: Although I had sent this ages ago, I also had one in my pocket to Mae, John, Ed.				
113/114	PC030019	"BEAR IN MIND"" WE ARE VERY MUCH ALIVE AT CALGARY, ALTA.	Pearson's Bookshop	Distributor			English	Canada, Alberta, Calgary	1 postcard: sepia ; 8.7 x 14 cm	B&w photograph appearing to depict a bear in the streets of Calgary, Alberta	Collages ; Streets ; Bears	Mr. Frank Hofer			[I had a bear in min when i can hear about you fellows thoun in Colfax how is Dider learl i spose she is holding out the good if ou save soon. full mett tale A may healp youss]		Written in m.s.: it me on the corner		
114/114	PC027289	SCENE ON THE ROAD NEAR WINNIPEG, MAN. WE NEVER STOP	R.B. JOHNSON	Publisher	Copr. 1915 by R.B. Johnson	1915	English	Canada, Manitoba, Winnipeg	1 postcard: b&w ; 8.5 x 13.5 cm	B&w photograph altered to look as if a man is driving an automobile into a group of cows	Collages ; Automobiles ; Cows	Miss Florence Cain	Billy	1724 Davie St. Vancouver B.C.	Winnipeg July 3/17 Dear Florence: Hope you are all well & having a good time, you want to comedown & visit autie during your holidays, hope you passed your exams OK. [Don't] know how long we will be here yet. Love to all On Laren Hotel Billy	WINNIPEG, MAN. JUL -PM 1917			
"																			
