typeOfEntity	authorizedFormOfName	datesOfExistence	history	blank
Person	Gue, Martha Munz			
Corporate body	Guild for Medieval and Renaissance Studies	1960 - [ 198-]	The Guild for Medieval and Renaissance Studies presented lectures, concerts, banquets and other activities for persons at the University and members of the public who were interested in medieval and renaissance history and society	
Person	Gulliver, Dorothy			
Person	Gunn, J.N.			
Person	Gunning, Harry E.			
Person	Gupta, Kanhaya L.			
Person	Gutteridge, L.			
Person	Gutteridge, Leslie E.S			
Person	Gutteridge, Norma			
Person	Hadley, Margery Tanner			
Person	Hall, David J.			
Person	Hall, Frances Plaunt			
Person	Hall, Frank I.			
Person	Halstead, John			
Person	Hamilton, Dorothy I.		In October 1963 Dorothy Hamilton was appointed librarian of the Rare Books and Archives Department.	
Person	Hamilton, R.Winslow			
Person	Hamilton, William Scott			
Person	Hamula, V.			
Person	Hansen, Chris			
Person	Hansen, Trevor			
Person	Hanson, Ben			
Person	Hanson, Eric J.	1912 - 1985	Dr. E.J. Hanson graduated from Camrose Normal School in 1931 and taught from 1932-1946 in various Alberta School districts. In 1946 he joined the Department of Political Economy, becoming professor and head of the Department in 1957. In 1974 he was appointed Professor Emeritus of Economics. Dr. Hanson was also a Fellow of the royal society of Canada and of the Royal society of Health.    As an economic consultant, he prepared statistical reports for royal commissions and public utility hearings throughout Canada, for the federal tax structure committee and the city governments of Edmonton, Clagary, Red Deer and Grand Cache.	
Person	Harcourt, George			
Person	Hardin, Robert Toombs			
Person	Hardisty, Richard			
Person	Hardy, Robert Macdonald	1906 - 1985	Robert M. Hardy joined the Department of Civil Engineering at the University in 1930. In 1946 he was named head of the Department and Dean of the Faculty of Applied Science (renamed the Faculty of engineering in 1948). He retired from the University in 1959 to devote himself to his consulting company, R.M.Hardy and Associates, but he returned as Dean of Engineering from 1963 to 1971. He was one of the first specialists in soil mechanics and foundation engineering, an expertise for which he gained international recognition. Among many other honours, he received an honorary doctor of Laws from the University in 1977 and was appointed an officer of the Order of Canada in 1974.	
Person	Hardy, William George			
Person	Hare, Carl			
Person	Hargrave, Donald R.			
Person	Hargreaves, J. A.			
Person	Harries, Hu			
Corporate body	Harriet Winspear Book Project Steering Committee			
Person	Harrington, James			
Person	Harris, Glenn			
Person	Harris, Margaret			
Person	Harris, R.J			
Person	Harris, Walter Edgar	1915 -	W.E. Harris received his Bachelor and Master of Science degrees   at the University of Alberta and returned to the University’s   Chemistry Department in 1946 following his PhD studies at the   University of Minnesota. In 1974, he was named Chair of the   Department of Chemistry, a position he held until his retirement   in 1980. He specialized in analytical chemistry, gaining   particular recognition for his work in chromatographic analysis,   nuclear technology, and his introductory course in chemical   analysis. He played a significant part in the restructuring of   the General Faculties Council in 1966 and continues to sit on   University committees. He received an honorary doctorate from   the University of Alberta in 1991.	
Person	Harrison, Harold Page			
Person	Harrison, Mrs. W.J.			
Person	Hart, Keith			
Person	Hartley, Helen Ridley			
Person	Hartnett, M.E.			
Person	Hartroft, Dr. W. Stanley			
Corporate body	Harvard Forest Archives		Since its inception in the early 1900s, Harvard Forest researchers have maintained extensive records of institutional research and forestry operations. These documents are permanently housed in the Harvard Forest Archives, a purpose-built, climate controlled facility. The Harvard Archives collection consists of a variety of materials including original research data and notes, publications and theses, a large map library, comprehensive forestry and vegetation records of all Harvard Forest properties from 1907 to the present, photographs and slides, soil and tree core samples, and regional records such as historical soil and forest surveys and census data.	
Person	Harvey, Horace			
Person	Hatcher, Colin K.			
Person	Haultain, Frederick W.G.			
Person	Hawkins, James Donald	[ 19-- ] - 1970	J.D Hawkins (DDS, 1932) was an instructor in operative dentistry from 1944 to1946 and a lecturer in oral anatomy from 1947 to 1963 in the Faculty of Dentistry. He was active in dental associations, including the Edmonton and District Dental Society, for which he served as President from 1945 to 1946. In the early 1960s the Alberta Dental Association commissioned Dr. Hawkins to update A.E Jamison's 1948 History of Dentistry in Alberta. He chose to expand the book by adding material on the the Yukon and Northwest Territories. This collection derives from his research for the project, which he never completed.	
Person	Hayden, D.			
Person	Haynes, Douglas			
Person	Haynes, Jane Banfield			
Person	Haythorne, George			
Person	Head, Christopher R.			
Person	Head, J.			
Corporate body	Health Research Ethics Board			
Corporate body	Health Research Ethics Board - Panel B			
Corporate body	Health Research Ethics Board (Panel A)			
Corporate body	Health Research Ethics Board (Panel B)			
Corporate body	Health Sciences Animal Lab Servives	1987 July -	Health Sciences Laboratory Animal Services (HSLAS), a division within the Faculty of Medicine and Dentistry, was established in principle in July 1986, with the appointment of its first Director. The new Division was formed from two autonomous components, the Surgical Medical Research Animal Center and the Medical Sciences Building Animal Center. In January 1987 the two units were formally united, forming the basic structure of HSLAS.    From its inception the goal of HSLAS has been to provide the research community in the Faculty of Medicine and Dentistry with state-of-the-art animal care on which is superimposed a   wide range of technical expertise in procedures with laboratory animals.	
Corporate body	Health Sciences Animal Policy and Welfare Committee			
Corporate body	Health Sciences Library			
Person	Healy, Dennis McNeice			
Person	Heaman, J.A.			
Person	Heather, Jane			
Person	Heatley, Stephen			
Corporate body	Hecate's Players			
Person	Heintz, Lucy			
Person	Helen Beny Gibson			
Person	Hemstock, Emily			
Person	Hemstock, Russell	1921 - 2010	He was recognized with numerous awards, among them Oilman of the Year, the J.C. Sproule Memorial Award, and the Centennial Award from the Association of Professional Engineers, Geologists and Geophysicists of Alberta. He was a Fellow of Engineers Canada, a distinguished lecturer for The Canadian Institute of Mining, Metallurgy and Petroleum, and he authored many papers on permafrost, the oil sands, and environmental issues and ethics in professional practice. Alex was generous with his time, freely giving back to the engineering profession by passing on his expertise to young engineers. He was the president of the Association of Professional Engineers, Geologists and Geophysicists of Alberta, as well as the Canadian Council of Professional Engineers.	
Person	Henderson, Ben			
Person	Henry, Arthur Wellesley Campbell	1896 - 1988	A.W.C. Henry was a professor of plant pathology from 1922 to 1962 in the Department of Field Crops (later Plant Science). After his retirement from the University as Professor Emeritus, he joined Alberta Agriculture's Crop Clinic Laboratory (later Plant Industry Laboratory), where he continued to conduct research for more than fifteen years. He was a widely published expert on the biological control of soil- born pathogens and flax disease and developed a new strain of flax resistant to rust.	
Person	Henry, Keith A.			
Person	Hepburn, Allan L.			
Person	Hepburn, Elsie			
Person	Hepburn, Howard Havelock			
Person	Hepler, Loren G.			
Corporate body	Heritage Interpretation International			
Person	Heslip, Patrick			
Person	Hess, Thomas			
Person	Hess, Thomas Melville			
Person	Hestbak, Brad			
Person	Hett, Robert R.			
Person	Hickey, Clifford G.			
Person	Hill, Isabel Kuntz			
Person	Hilliard, John E.			
Person	Hirabayashi, Gordon			
Corporate body	Historical Society of Alberta			
Corporate body	History Club	1914 - [ 1978? ]	The History Club of the University of Alberta, begun in 1914 under the guidance of Professor A. L. Burt, was comprised of students in Honours History at the University as well as faculty and honorary members. The organization met to hear papers given by senior honours history students on various topics of historical, political, social and current events.	
Person	Hluszok, Zenon			
Person	Hobart, Charles			
Person	Hobbis, Lurline			
Person	Hocking, Brian	1914 - 1974	Brian Hocking joined the University staff in 1946 and was appointed professor and head of the Entomology Department in1954. Author of three books and numerous articles, he was an international authority on insect flight and the control and behavior of blackflies and mosquitoes. He conducted research for the World health Organization on insect-borne diseases in Burma and acted as consultant for numerous local and federal agencies. Among other honours, he received the Entomological Society of Canada Gold Medal in 1973.	
Person	Hodgson, Dorothy			
Person	Hodgson, E.			
Person	Hodgson, Gordon W.	5.25.1924 - 1.1.2000	"Gordon Hodgson was born in 1924, and raised in Dewberry, Alberta. He received an honors degree in chemistry (1946) at the University of Alberta, and pursued his master's degree there. His PhD was completed in chemistry at McGill University (1949). In the 1950s, Hodgson returned to Alberta to work in the oil industry. He conducted pioneering research work in the development of the Athabasca oil sands, petroleum geology, and oil pipeline technology. By invitation of the National Aeronautics and Space Administration (NASA), Hodgson moved to California in 1967 to study samples of the moon retrieved from Apollo Space Missions. In 1969 Hodgson left NASA and returned to adademia, accepting a position as Professor of Environmental Research at the University of Calgary. He took a four year position as editor of the journal titled ""Arctic: Journal of the Arctic Institute of North America"". He was married to Jeannette Doull in 1953, and together they had five children. Dr. Hodgson was a social activist and publisher with much of this activity done through the Presbyterian Church. Through his church, his social activism included chairing the Presbyterian Church in Canada International Affairs Committee, supporting campaigns against the nuclear arms race, and work in the Save the Children's Fund. Dr. Hodgson died of cancer in January 2000."	
Person	Hodgson, Jeanette			
Person	Hodysh, Henry	-2011		
Person	Hodysh, Marilyn			
Person	Hof, Linda K			
Person	Hogan, John T.			
Person	Hogarth, G. W.			
Person	Holdaway, Edward L.			
Person	Hole, Lois	1933 - 1.6.2005		
Corporate body	Holier Than Thou Productions			
Person	Hollies, R.T.			
Person	Hollingsworth Green, Edward Joseph			
Person	Hollingsworth, Margaret			
Person	Holt			
Person	Holubnychy, Vsevolod	1928 - 1977	Born in eastern Ukraine, Vsevolod Holubnychy fled with his family to Bavaria in 1943 to escape the Red Army. In 1951 he moved to New York City where he attended Columbia University. He was a professor at the City University of New York from 1962 until his death. A specialist in Soviet- type economies, he was active in Ukrainian nationalist organizations and at the time of his death was making arrangements with the Canadian Institute of Ukrainian Studies at the University of Alberta to work on an English language Ukrainian Encyclopedia. The Institute published a small section of his papers as Soviet Regional Economies: Selected Works of Vsevolod Holubnychy, in 1982.	
Person	Holubnychy, Wsevolod			
Corporate body	Home Economics			
Person	Horner, Bessie			
Person	Hornjatkevyc, Andrij			
Person	Horowitz, Myer			
Person	Hoshowsky, B.			
Person	Hoskin, M.V.			
Corporate body	Household Economics			
Corporate body	Household Economics School			
Corporate body	Housing and Food Services	1965 -	The Department, as it now exists, was first created in 1965/66. However, the University's residences and food services have been an integral part of the campus since the first University building was built in 1911. Housing and Food Services' mandate now extends beyond providing room and board to students.  The Department is an ancillary service department which reported to the Vice-President (Administration) through the Associate Vice-President (Student and Academic Services). The Department is organized in to five divisions:  Housing, Catering and Conference Services, Finance, and Facilities, and the Administrative Unit, all of which report to the Director. The Housing Division is responsible for the welfare of the occupants of the University's six resident communities and acts as landlord to the residence-related daycare centers. It maintains leases and contracts and liaison with the residence association.  The Catering and Conference Services Division maintains the dining hall, cafeteria, lunchrooms, concessions, catering service, and vending machines, rents meetings rooms and guest rooms in the residence buildings; and operates a conference management service.   The Facilities Division is responsible for the structural systems and for cleaning and maintaining all the buildings, rooms, equipment and furniture owned by the Department. The Finance Division processes the Department's accounts receivable; develops and maintains the budget document; prepares monthly reports and financial statements; and supervises the Department's computing systems and hardware.  The Administrative Support Unit includes the Personnel Office (a satellite of University Personnel Services and Staff Relations), and the Office staff (PACCR, 1988).	
Person	Howard, H.A.			
Person	Howay, Frederic William	1867 - 1943	Born in London, Ontario, Frederic Howay (1867-1943) moved to British Columbia as a child. He attended school in New Westminster and in 1884 he went to Victoria to write his Provincial Teachers' examinations . He then taught at Canoe Pass and Boundary Bay schools. In 1887 Howay entered Dalhousie University in Halifax to study law. While in Halifax, Howay wrote articles on law, politics, temperance, and B.C. personalities, which were published in various B .C. papers. Howay graduated with his LL.B. in 1890 and was admitted to the B.C. bar in 1891 . In 1907 he became Judge of County Court of New Westminster . Howay had a great interest in history and was a member and president of many historical associations in B .C and Canada such as the Historic Sites and Monuments Board, Champlain Society and the Royal Society of Canada.	
Person	Howell, Art			
Person	Howes, Ernst Albert			
Person	Hoyt, David			
Corporate body	HUB Administration			
Corporate body	HUB International Marketplace			
Person	Huckvale, C.K.			
Person	Huckvale, Walter		Mayor of Medicine Hat from 1921-1926	
Corporate body	Human Resource Group			
Corporate body	Human Resource Services		The University of Alberta's first academic session commenced in 1908, with personnel matters being dealt with by the President (Dr. Tory) on an individual basis. Later, matters were generally referred to the appropriate Dean, who would pass the information to the President.     During the 1940's the Bursar assumed responsiblity for dealing with matters related to non-academic staff.     In 1957 Murray Cooke was appointed as the first Personnel Officer, and the Personnel Office was considered a separate administrative unit within the Bursar's Office.     During the early 1960's, Cooke began to develop and formalize university policies of employment for non-academic staff.     In 1967, the Personnel Department was established as a separate admin¬istrative unit.     In 1971, the Board of Governors and NASA signed an Agreement, formally recognizing NASA as sole bargaining agent for regular non-academic employees.   During the 1970's five divisions were established: Wage and Salary Administration (1974), Systems and Records (1976), Employment Services (1977), Employee Relations (1977), and Occupational Health and Safety (1977).       In 1980, the Training and Development division was established. With the exception of a brief period during 1983/1984, the respon¬sibilities for Occupational Health and Safety have been split between the Director of Personnel, Director of Physical Plant, the Radiation Control Committee and the Biosafety Committee. In the fall of 1985, the Equal Opportunity Unit was established.	
Corporate body	Human Rights Institute of Canada		The Human Rights Institute of Canada was inCorporate bodyd in 1974 to help Canadians make governments accountable to the people of Canada. The Institute is established in Ottawa, Ontario and often goes through court challenges to respond to human rights violations.	
Corporate body	Humanities and Sociel Science Library			
Person	Hume, H.E.			
Person	Hunter, E.H.			
Person	Hunter, George			
Person	Hunter, Helen			
Person	Hurlburt, Dev			
Person	Hurlburt, William H.			
Person	Hurlbut, Rick			
Corporate body	Hurtig Publishers Ltd.			
Person	Hurtig, Mel			
Person	Husain, Ali-Amir			
Person	Husain, Ali-Amir; Husain, Zakir			
Person	Husain, Zakir			
Person	Huston, Merveyn J.			
Corporate body	Hydro-Carbon Research Centre			
Corporate body	Hydrocarbon Research Centre			
Person	Hynam, Charles A.S	1909 - 1979	C.A.S Hynam joined the University as assistant professor of sociology in 1962 after holding various public service positions in agriculture and education in the Caribbean. He became a full professor in 1973. From 1965-1972 he held a joint appointment with the Department of Agricultural Economics. He continued to teach part-time after his retirement in1974. A specialist in rural sociology he conducted research and acted as a consultant on community development and agricultural education.	
Person	Hyrak, Dr. W.			
Corporate body	I.T.S. / Library Systems			
Person	Ignasiuk, Therese			
Person	Ignatief, V.			
Corporate body	In The Parks			
Corporate body	Industry Liaison Office		The Industry Liaison Office (ILO) was established as a unit within the portfolio of the Vice-President (Research). The office dealt with internal and external clients to foster research partnerships which facilitated the formation and growth of University spin-off companies. The ILO focussed on marketing and communications activities to bring about these industry sponsored research partnerships and projects. In August 2002, the Industry Liaison Office amagamated with the Research Grants Office and components of Research and Trust Accounting to form the Research Services Office.	
Corporate body	Infectious Diseases Division			
Corporate body	Information and Privacy Office			
Corporate body	Information Office		The first Information Office was established in 1965, and later expanded in 1967 to become the Public Relations Office responsible for publications, public relations and fundraising. The Publications Office split from Public Relations in 1968, and the following year a fund Development Office was established, so that by 1970 four separate of ices were in place (Alumni, Public Relations, Publications, and Fund Development). During the 1970s several appraisals were carried out on the four offices, and in 1978 all but the Alumni Office were amalgamated into a new Office of Community Relations. The Fund Development Office separated again in 1981. The office was renamed Public Affairs in 1986.    The records reflect the Office's chief roles as the central public relations unit providing media and community relations services, publications, public relations consultation services for academic and administrative units as well as committees, and graphic design services (PACCR, 1984).	
Corporate body	Information Technology Services			
Corporate body	Information Technology Services Library			
Person	Ingles, Ernie			
Person	Ingraham, Alexander			
Person	Inness, Campbell			
Person	Innis, Harold			
Corporate body	Inside			
Corporate body	Inside (periodical)			
Corporate body	Institute of Earth and Planetary Physics	1970 -	Founded in 9170 with the aid of a grant from the national Research Council, the Institute unites geophysicists in the Departments of Physics, Mathematics and Geology and meteorologists in the Department of Geography. The members of the Institute include academic and technical staff, research associates and graduate students from the four departments. Distinguished researchers are invited each year for short- term visits. Research topics in which Institute members are active include seismology, geomagnetism, palaeomagnetism, plate tectonics, mass spectrometry, space physics, and metrological studies, including studies of atmospheric and oceanic pollution.	
Corporate body	Institute of Law Research and Reform			
Corporate body	Institute on Publishing in Canada			
Corporate body	Institutional Research and Planning			
Corporate body	Instructional Technology Centre	1963 -	The Audiovisual Media Centre was established in 1963. In 1982 it was combined with the Curriculum Materials Preparation Area to form the Instructional Technology Centre. It provides audio visual materials, equipment and services for use by staff in the Education Building. Besides storing and maintaining equipment, ITC houses laboratories, classrooms and conference rooms; offers workshops and consultation; and produces audiovisual materials through its research and development branch.	
Corporate body	Intellectual Property and Contracts Office			
Corporate body	Interdisciplinary Committee on Environmental Quality	1970 - [ 1974 ]	The Interdisciplinary Committee on Environmental Quality was a public interest group concerned with all aspects of pollution and environmental quality. Headed by pharmacology professore E.E Daniel, the Committiee was formed by staff at the University of Alberta.	
Corporate body	Interdisciplinary Studies	1975 - 1981	The establishment of the position of Dean of Interdisciplinary studies was approved by the Board of Governors in February, 1975. The Dean, reporting to the Vice-President (Academic), was charged with responsibility for the administration of existing interdisciplinary and multidisciplinary graduate programs, the development of further interdisciplinary degree programs at the graduate level, and for overseeing institutes and centers whose activities did not clearly lire within one particular faculty. Institutes, centers, and programs falling under Interdisciplinary Studies were Boreal Institute of Ukrainian Studies, the Centre for Advanced Study of Mental Retardation, the Devonian Botanic Garden, the Division of East European Studies, and the water Resources Centre. The duties of the Dean of Interdisciplinary Studies were transferred to the Vice-President (Research) in 1981.	
Corporate body	Interdisciplinary Studies: International Polar Year			
Corporate body	Interlibrary Loan and Document Delivery			
Corporate body	International Biological Program			
Corporate body	International Centre			
Corporate body	International Geographical Union	1922 -	The purpose of the International Geographical Union is to encourage the study of geographical problems and promote international research. A member of the International Council of Scientific Unions, it has nearly 90 member countries, ant its secretariat is housed int he Department of Geography at the University of Alberta. tHese records were generated primarily by Leszek A. Kosinski, professor of Geography at the University and current Secretary General of the Union, during the organization of IGU's Commission on Population Geography and the Symposium on Frontier Settlement for the 22nd International Geographical Congress held in Edmonton 1972.	
Corporate body	International Ombudsman Institute	1978 -	The International Ombudsman institute was founded to conduct research and record ombudsman activities throughout the world. Its principal activities consist of building a information resource centre, publishing and conducting conferences and seminars.	
Corporate body	International Reading Association			
Corporate body	International Television Research Information Centre			
Corporate body	Investment and Real Estate Office	[ 1976 ] -	The Investment Office is responsible for investment of all funds not required for immediate operating or capital expenditures of the University. These funds are of three different varieties: cash and short term balances; University -controlled funds which are available for longer-term investments; and endowed funds which have accumulated from gifts, bequests and endowments, and include the Killam Funds, the Endowment Pool and the Non-Consolidated Fund.    The Investment Office contributes to, and coordinates the development of, investment and spending policies for approval by the Board of Governors (MAPPS 1986).	
Person	Ironside, Robert G.			
Corporate body	It's Always Something Theatre			
Corporate body	J.S. McEachern Laboratory			
Person	Jablonski-Jones, Martha			
Person	Jablonski, Marek			
Person	Jackel, David			
Person	Jacknicke, Kenneth Gordon			
Person	Jackson		Honourable Justice	
Person	Jackson, Harold			
Person	Jaffray, J.A.			
Person	James, Christopher R.			
Person	James, Michael D.			
Person	James, Robert			
Person	Jamieson, Heber C.	1879 - 2.20.1962	Heber Jamieson was born in Almonte, Ontario, and received his medical degree from the University of Toronto in 1901. Post graduate work was carried out at the University of London, England, where he became a Member of the Royal College of Surgeons and a Licentiate of the Royal College of Physicians.     He came to Edmonton in 1911 to join the staff of the Provincial Laboratory, and with the establishment of the Faculty of Medicine at the University in the fall of 1913, he became a part-time instructor in basic medical sciences. In 1914, when Dr. A. C. Rankin, the newly appointed Provinicial Bacteriologist and Director of the Provincial Laboratory, left on military service overseas, Dr. Jamieson assumed his duties on a temporary basis for the next five years. Appointed Lecturer in Medicine in 1920 and Associate Professor two years later, he was made Professor of the History of Medicine in 1925.     In addition to his Univesity lectures and clinics, Dr. Jamieson conducted a private practice in internal medicine where his specialized treatment of diabetic patients gained recognition not only for the excellent results obtained, but also because the methods used were far in advance of the times. In 1943 he was promoted to the rank of Professor of Clinical Medicine and although he retired from the University on October 5, 1946, his long association with the institution was continued in his being named Honorary Professor of that department. He retired from private practice in 1950 and died in Edmonton on February 20, 1962.     Heber Jamieson married Florence Lyon of the Ottawa Valley region before World War One and they had two daughters. During his career Dr. Jamieson wrote one book, Early Medicine in Alberta, The First Seventy-Five Years, and numerous articles that were originally prepared for presentation at medical meetings but were later published in provincial or national journals. Their theme is the development of medical facilities within the province, with special emphasis on doctors who were in the area before 1910, and on early hospitals and nursing care.	
Person	Janisse, Rev. J.B.			
Person	Janzen, William Eldon	1896 - 1977	W.E. Janzen taught school in Rosthern, Saskatchewan, for ten years before registering in the University of Alberta's dentistry program in1927. As a student he supported himself by playing in the Canadian Officers' Training Corps (COTC) band, the University Rink Band and the Varsity Five dance band and by working summers for Western Canadian Chautaqua. After graduation he set up a dental practice in Wetaskiwin, where he worked for 42 years until his retirement.	
Person	Jarvis, Peter			
Person	Jenner, Fred T.			
Person	Jenness, Joan			
Person	Jewett, W.			
Person	Jewitt, Genevieve	1901 -	Born in Strathcona (now part of Edmonton), Genevieve Jackson graduated from the University (BA 1921), then served as an assistant to D.E. Cameron, head of the University Library, until she married pioneer mining engineer and Pilot William Jewitt and left Edmonton 1926. She lived in communities in Nova Scotia, British Columbia, Saskatchewan and the Northwest Territories before retiring in Victoria British Columbia.	
Person	Jiminez, Jose			
Corporate body	John A. Weir Memorial Law Library			
Corporate body	John W. Scott Health Sciences Library			
Person	John, Rita			
Person	Johns, Mrs. W.H.			
Person	Johns, W. H.			
Person	Johns, Walter Hugh	1908 - 1985	Dr. Johns joined the University of Alberta in 1938 as a lecturer in classics. He developed an administrative career alongside his academic one, serving as assistant Dean of Arts and Science in 1945 and Executive Assistant to the President in 1947. He was Dean of Arts and Science in 1952 to 1957 and Vice-President of the University from 1957-1959. In 1959, Dr Hornbeam the sixth President of the University of Alberta. When his term ended in1969 he resumed his academic duties as professor of classics. Upon his retirement in 1973 he was named Professor Emeritus. Among Dr. Johns' many awards was the Order of Canada, which he received in 1978. in 1983 his long-term project, A History of the University of Alberta, 1908-1969, was published by the University of Alberta Press.	
Person	Johnson, LeRoy Peter Vernon	1905 - 1983	LeRoy Johnson obtained his BSc (1931) and MSc (1933) in agriculture at the University. After holding positions with the National Research council, and the Universities of Florida and Washington State, he returned to the University of Alberta in 1948 as associate professor of genetics and plant breeding. He became professor the next year and chair of the Department of Genetics from 1969 until, his retirement in 1970. A researcher in forest trees and field corps, his work led to the licensing of two new strains of barley. Besides his publications on agronomy, he wrote short stories, novels and a biography on Williams Aberhart in collaboration with Ola (Aberhart) Mac Nutt	
Person	Johnston, Reed H.			
Person	Jones, David			
Person	Jones, John Thomas	1986 - 1986	Professor Jones completed his honours BA in English (1921) at the University of Alberta, and became a rural teacher, 1920-1922 then professor in the Department of English , 1928-1953. He became head of the Department (1953-1961), retiring in 1964. His favorite poet was John Milton, in whose writing he gave courses at the senior and graduate levels.	
Person	Jones, Magda			
Person	Jones, Norman	-2001		
Person	Jones, William John			
Person	Jordan, Ann			
Person	Joseph			
Person	Jungkind, Walter			
Person	Kaiser, Georg	November 25, 1878 - 6.4.1945		
Person	Kapitza, P.L.			
Person	Kaplan, Beth			
Person	Kaplan, J. Gordin	1922 - 1988	Gordin Kaplan joined the University in 1981 to act as the first Vice-President (Research), a position he held until 1987. A specialist in molecular and cellular biology, he was also appointed professor of biochemistry. He was a social activist and lobbyist for the scientific research in Canada; his tenure at the University he was instrumental in the creation of the Research Policy Committee, the Central Research Fund, and WISEST (Women in Scholarship, Engineering Science and Technology).	
Person	Kaplan, Sylvia			
Person	Keeler, Doug			
Person	Keeler, Joan			
Person	Keeping, E.S.			
Person	Keeping, Eleanor Silver	1901 - 1991	A graduate of the University, Dr. Keeping lectured in Botany, 1924-1926, worked as the first medical mycologist at the Provincial Laboratory of Public Health from 1933 to 1954 and acted as a research associate in the Departments of Bacteriology, 1954-1957, Botany, 1958-1961, and Genetics, 1962-1964. In 1964 she was named honorary Research Associate in Genetics. With her husband, Dr. Frank Keeping, Dr. Silver Keeping was active in the arts in Edmonton, especially the theatre groups.	
Person	Keeping, Eleanor Silver; Keeping, Ernest Sydney			
Person	Keeping, Ernest Sydney	1895 - 1984	Frank Keeping came to the University of Alberta in1929 as an assistant professor of mathematics. He served as the head of the department of Mathematics from 1954 to 1961. He retired in 1971 and was awarded an honorary Doctor of Laws in 1972. Trained as a physicist, his scholarly interests included astronomy, applied mathematics and mathematic statistics; in the latter field he was a national authority. Among his publications were histories of the Department of mathematics and the Royal Astronomical Society of Canada- Edmonton Branch. He was the first curator of the University's art collection, and with his wife, Dr. Silver Keeping, was an active supporter of the theater and musical groups of Edmonton.	
Person	Keeping, S.E.			
Person	Keist, Violet			
Person	Keith n' Gary			
Person	Kendall-Probst, Mary			
Person	Kent, Stephen			
Person	Kerr, William Alexander Robb			
Person	Keyes, P.G.			
Person	Kidd, E.G.			
Person	Kieren, Dianne K.			
Corporate body	Killam Scholarship Committee			
Person	King, Clem L.			
Person	King, Egerton W.			
Person	King, G.C.			
Person	King, J.H.			
Corporate body	King's College	1978 -	The King's College is a Christian liberal arts institution for post-secondary education. It is not affiliated with a specific denomination, but is maintained by the King's College corporation whose six thousand members are associated with various denominations. The College has described its educational philosophy in a statement of educational principals and objectives.  The college, enabled the King's College Act 1979, offers courses in the arts, sciences, education, and theology; it serves students from throughout Alberta, five other provinces, and two foreign countries (Present and Future Roles of the King's College, 1982).	
Person	Kirkpatrick, G.R.F			
Person	Knight, Maureen			
Person	Knowler , A. S.			
Person	Koenig, Daphne D.			
Person	Konrad, Abram G.			
Person	Kosinski, Leszek			
Person	Kowalewski, Konstanty Piotr			
Person	Kozar, Frank			
Person	Kratochvil, Byron George	9.15.1932 -	Byron Kratochvil was born in Osmond, Nebraska on September 15, 1932, and studied chemistry at Iowa State University, receiving his BSc. in chemical engineering in 1957, his M.Sc. in 1959, and his Ph.D. in 1961 in analytical chemistry. On graduation, he joined the Department of Chemistry at the University of Wisconsin–Madison, where he taught and carried out research for six years. In 1967, he accepted a position as Associate Professor in the Department of Chemistry at the University of Alberta. He was at the University of Alberta for the remainder of his professional career, serving as Chair of the Chemistry Department from 1989-1995, Associate Vice-President (Research) from 1995-1998, and Senior Advisor to the Vice-President (Research) from 1998-2001. In 1980-1981, Dr. Kratochvil had a leave from the University of Alberta to serve as a guest worker at the Centre for Analytical Chemistry at the U.S. National Institute of Standards and Technology in Washington, D.C. While at the Institute, he co-authored a treatise on analytical sampling with John K. Taylor.     Professor Kratochvil has published over 120 scientific publications and, with W.E. Harris, co-authored three textbooks in analytical chemistry (“Chemical Analysis” 1969, “Chemical Separations and Measurements” 1974, and “Introduction to Chemical Analysis” 1981). He was the Analytical Editor of the Canadian Journal of Chemistry for three years and Senior Editor of the Journal for a further five years. He served as Director of Planning and Operations for the Alberta Synchrotron Institute, a consortium of the Universities of Alberta, Calgary, and Lethbridge that supported access to synchrotron radiation for training, research, and industrial applications within Alberta. In 1989, Dr. Kratochvil was named Chair of the University of Alberta SLOWPOKE Reactor Facility Committee. He served as a member of the Advisory Board of the Chemical Institute of Canada and his areas of research interest include: oxidation-reduction reactions, non-aqueous solvents, and sampling for chemical analysis.     Byron Kratochvil was awarded the Iowa State University Alumni Merit Award in 1990 and the 1990 Fisher Award of Canada, given by the Chemical Society of Canada for outstanding contributions to analytical chemistry. He is member of the American Chemical Society, a Fellow of the American Association for the Advancement of Science and a member of the Chemical Institute of Canada. Dr. Kratochvil retired from the University of Alberta in 1998 and was made Professor Emeritus in the Department of Chemistry at the University of Alberta. He continues to study and write in the area of sampling for chemical analysis and was involved with studying the problems associated with sampling and analysis of the Athabasca oil sands.     Byron Kratochvil married Mariane in 1961, and has four children: Susan Joan, Daniel James, Jean Marie, and John David. He resides in Edmonton.	
Person	Kratzmann, Arthur			
Person	Kreisel, Esther			
Person	Kreisel, Henry			
Person	Krishnan, Parameswara			
Person	Krotki, Joanna E.			
Person	Krull, B.			
Person	Kuehnemuth, Tracy			
Person	Kugler, Don D.			
Person	Kupsch, W.O.			
Person	La Rose, Helen			
