typeOfEntity	authorizedFormOfName	nameEntry-part	datesOfExistence	history	biogHist	XML file
Corporate body	Investment and Real Estate Office	University of Alberta Investment and Real Estate Office	[ 1976 ] -	The Investment Office is responsible for investment of all funds not required for immediate operating or capital expenditures of the University. These funds are of three different varieties: cash and short term balances; University -controlled funds which are available for longer-term investments; and endowed funds which have accumulated from gifts, bequests and endowments, and include the Killam Funds, the Endowment Pool and the Non-Consolidated Fund.    The Investment Office contributes to, and coordinates the development of, investment and spending policies for approval by the Board of Governors (MAPPS 1986).	The Investment Office is responsible for investment of all funds not required for immediate  operating or capital expenditures of the University. These funds are of three different varieties:  cash and short-term balances; University-controlled funds which are available for longer-term  investments; and endowed funds which have accumulated from gifts, bequests and endowments, and  include the Killam Funds, the Endowment Pool and the Non-Consolidated Fund.  The Investment Office contributes to, and coordinates the development of, investment and spending  policies for approval by the Board of Governors (MAPPS 1986). Investment Officers:  [1976-1981] Danny S. Kanashiro; [1982]-  R. James Fleming.	university-of-alberta-investment-and-real-estate-office.xml
Person	Wyman, Max	Wyman Max	4.14.1916 - 1991	"Dr. Max Wyman joined the University staff in 1943 as a Mathematics lecturer. He became a full professor in 1956, Chair of the Department of Mathematics in 1961, Dean of Science in 1963, Vice-President (Academic) in 1964 and president of the University in 1969, which position he held until his retirement in 1974. In 1976 Dr. Wyman was appointed University Professor. Other areas of service included work on various commissions, including the Alberta Electoral Boundaries Commission and the Board of Review for Provincial Courts in Alberta (Kirby Commission). He also served as Chair of the Alberta Human Rights Commission, 1974-1979.    He is also noted for being an Alberta Junior Golf Champion and for having famously written to Albert Einstein about an error in Einstein’s paper ""The Influence of the Expansion of Space in the Gravitational Fields Surrounding Individual Stars."""	Mathematician, Administrator, 1916-1991.  Dr. Max Wyman joined the University staff in 1943 as a mathematics lecturer.  He became a full professor in 1956, Chair of the Department of Mathematics in 1961, Dean of Science in 1963, Vice-President (Academic) in 1964 and president of the University in 1969, which position he held until his retirement in 1974.  In 1976 Dr. Wyman was appointed University Professor.  Other areas of service included work on various commissions, including the Alberta Electoral Boundaries Commission and the Board of Review for Provincial Courts in Alberta (Kirby Commission).  He also served as Chair of the Alberta Human Rights Commission, 1974-1979.	wyman-max.xml
Person	Clandinin, Michael Thomas	Clandinin Michael Thomas	1949 -	Dr. Clandinin received his PhD in plant biology from the University in 1973; he served as a research associate in the Biochemistry Department from 1975 to 1976. After spending several years at the University of Toronto as professor of Natural Sciences, he returned to his alma mater in 1984 to hold joint professorships in the Departments of Foods and Nutrition and Medicine. He has published widely and received numerous awards for his research in nutrition. In 1984 he was named an Alberta Heritage Foundation for Medical Research Scholar.	Medical researcher, 1949- .  Dr. Clandinin received his PhD in plant biology from the University in 1973; he served as a research associate in the Biochemistry Department from 1975 to 1976.  After spending several years at the University of Toronto as professor of Nutritional Sciences, he returned to his alma mater in 1984 to hold joint professorships in the Departments of Foods and Nutrition and Medicine.  He has published widely and received numerous awards for his research in nutrition.  In 1984 he was named an Alberta Heritage Foundation for Medical Research Scholar.	clandinin-michael-thomas.xml
Person	Wheeler, Benjamin	Wheeler Benjamin	1910 - 1963	Benjamin Wheeler graduated from the University in 1935. He studied tropical medicine in London, then served in the India Medial Service, 1937-1941. While a medical officer with the British in Malaya, he became a POW and spent 1942-1945 in a Japanese camp in Formosa. During his time there, he maintained detailed diaries and case records. After the war he worked at the Baker Clinic in Edmonton; co-founded the Alberta Society of Internists; and did extensive research on extreme deficiency states, congestive heart failure, and peptic ulcers. At his death in 1963, he was the head of the Department of Internal Medicine at the University of Alberta	Physician, 1910-1963.  Benjamin Wheeler graduated from the University in 1935.  He studied tropical medicine in London, then served in the India Medical Service, 1937-1941.  While a medical officer with the British in Malaya, he became a POW and spent 1942-1945 in a Japanese camp in Formosa. During his time there, he maintained detailed diaries and case records.  After the war he worked at the Baker Clinic in Edmonton; co-founded the Alberta Society of Internists; and did extensive research on extreme deficiency states, congestive heart failure, and peptic ulcers. At his death in 1963, he was the head of the Department of Internal Medicine at the University of Alberta.	wheeler-benjamin.xml
Person	Corser, Craig	Corser Craig	[ 19-- ] -	Mr. Corser, manager of the Erith Tie Company, Edson Alberta, donated his family's photograph collection to the Department of Forest Science for deposit in the Archives.	Businessman, [19þ]- .  Mr. Corser, manager of the Erith Tie Company, Edson, Alberta, donated his family's photograph collection to the Department of Forest Science for deposit in the Archives.	corser-craig.xml
Person	Pannu, Raj	Pannu Raj			Educator, Politician, 1934- Raj Pannu was born in Punjab, India in 1934 and completed his undergraduate education in India before coming to Canada in 1962. Upon arrival in Canada Dr. Pannu and his partner Swinder settled in Whitecourt where he taught high school until June 1964 when they moved to Edmonton in order for Dr. Pannu to begin a graduate degree in Education. In 1973, he received a doctorate degree in sociology. After teaching at York University for one year, Dr. Pannu returned to the University of Alberta in 1969 as a full time faculty member and taught there for 27 years in the departments of Educational Policy Studies and Sociology. Upon retirement Dr. Pannu entered politics with the New Democratic Party and in 1997 was elected to the Alberta Legislature as the member for Edmonton-Strathcona. Upon entering the legislature, Pannu served as the New Democrat Opposition House Leader and the caucus spokesperson on a number of portfolios including environment, education, advanced education, energy, human rights and justice. Dr. Pannu was named NDP party leader in February 2000 and was reelected in the 2001 provincial election, taking over 50% of the vote in Edmonton-Stratchcona.	pannu-raj.xml
Corporate body	Nuclear Research Centre	Nuclear Research Centre	1959 -	The aim of the Nuclear Research Centre is to conduct studies to discover the basic properties of atomic nuclei. Its principal work involves the TRIUMF(Tri- University Meson Facility) Project, an experimental program using a 500 million electron volt cyclotron located in Vancouver, run jointly by the Universities of Alberta, British Columbia and Victoria and Simon Fraser University. Staff collaborate less directly on other accelerator projects in Canada, the United States and France. The Centre offers fellowships for research in subatomic physics.	The aim of the Nuclear Research Centre is to conduct studies to discover the basic properties of  atomic nuclei.  Its principal work involves the TRIUMF (Tri-University Meson Facility) Project, an  experimental program using a 500 million electron volt cyclotron located in Vancouver, run jointly  by the Universities of Alberta, British Columbia and Victoria and Simon Fraser University.  Staff  collaborate less directly on other accelerator projects in Canada, the United States and France.  The  Centre offers fellowships for research in subatomic physics. Directors: 1959-1986 Gordon Croyden Neilson; 1986-1988 John M. Cameron; 1988-1989 Gerald  Roy (Acting); 1989-  Peter Kitching.	nuclear-research-centre.xml
Person	Macgregor Smith, John	Macgregor Smith John	[ 1886 ] - 1950	After serving with the University of Saskatchewan from 1913 to 1920, John Macgregor Smith joined the University of Alberta in 1921 as its first professor of agricultural engineering. His chief research interest lay in soil-preserving tillage methods and farm machinery. He was a fellow of the Agricultural Institute of Canada and of the American Society of Agricultural Engineers, and honorary life member of the undergraduate students' Agricultural Club.	Agricultural engineer, [1886]-1950.  After serving with the University of Saskatchewan from 1913  to 1920, John Macgregor Smith joined the University of Alberta in 1921 as its first professor of  agricultural engineering.  His chief research interest lay in soil-preserving tillage methods and farm machinery.  He was a fellow of the Agricultural Institute of Canada and of the American Society of  Agricultural Engineers, and an honorary life member of the undergraduate studentsþ Agricultural  Club.	macgregor-smith-john.xml
Person	Lesins, Karlis A.	Lesins Karlis A	1906 - 1982	Karlis A. Lesins, DSc, was appointed to the Department of Plant Science at the university in 1954. He held the position of research professor of Genetics and Plant Breeding from 1962 to 1971 and was named Professor Emeritus on his retirement. His career focused on the study of self-fertilizing strain of alfalfa.	Plant geneticist, 1906-1982.  Karlis A. Lesins, DSc, was appointed to the Department of Plant Science at the University in 1954.  He held the position of research professor of Genetics and Plant Breeding from 1962 to 1971 and was named Professor Emeritus on his retirement.  His career focused on the study of medicago, in particular the development of a self-fertilizing strain of alfalfa.	lesins-karlis.xml
Corporate body	Department of Sociology	University of Alberta Department of Sociology		The University of Alberta is a major Canadian centre for teaching and research in sociology and related specialties such as criminology and demography. The first official course in sociology was taught in the early 1950s, but it wasn't until 1956 that the first full-time sociology position was approved within the Department of Philosophy and Psychology. The Department was renamed the Department of Philosophy and Sociology when the Department of Psychology split off in 1960. In the years that followed, the Department underwent several name and administrative changes. It was known as the Department of Sociology (1961-1963), the Department of Sociology and Anthropology (1963-1966), and again as the Department of Sociology since 1966.	The University of Alberta is a major Canadian centre for teaching and research in sociology and related specialties such as criminology and demography.  The first official course in sociology was taught in the early 1950s, but it wasnþt until 1956 that the first full-time sociology position was approved within the Department of Philosophy and Psychology.  The Department was renamed the Department of Philosophy and Sociology when the Department of Psychology split off in 1960.  In the years that followed, the Department underwent several name and administrative changes.  It was known as the Department of Sociology (1961-1963), the Department of Sociology and Anthropology (1963-1966), and again as the Department of Sociology since 1966. Heads: 1960-1961 Anthony Manuel Mardiros; 1961-1963 Robert James; 1963-1969 Gordon Hirabayashi.   Chairs: 1969-1970 Gordon Hirabayashi; 1970-1971 John Forster; 1971-1972 Baha Abu-Laban; 1972-1975 Charles Hobart; 1975-1980 Terrence H. White; 1980-1985 Robert Silverman; 1985-1988 Gordon Fearn; 1988- Robert Silverman.	university-of-alberta-department-of-sociology.xml
Person	Peel, Bruce	Peel Bruce			Librarian, Author, 1916-1998. Bruce Braden Peel was born November 11, 1916 on a homestead near Ferland, in southern Saskatchewan, and grew up on the prairies. He earned a teacher's credential and in 1937 began teaching school in rural Saskatchewan, and later in Saskatoon. But he had ambitions which required more education, which the Depression and the outbreak of war served to delay. Although unfit for military service because of his eyes, he nonetheless volunteered, and ended up painting ships at the Lakehead. After returning to Saskatchewan, he took both bachelor's and master's degrees in history, then went east to earn a library degree at the University of Toronto. Returning to the University of Saskatchewan in 1946, he was appointed curator of the Adam Shortt Collection of Canadiana. In 1951 he moved, with his new bride, Margaret (Fullerton), to the University of Alberta Library as chief cataloguer, quickly rose to the position of deputy librarian, and in 1955 was appointed "Librarian to the University." As a library administrator, he guided the growth of the University of Alberta Library from a very modest size to its present rank, as one of Canada's three largest research libraries; planned and developed six library facilities on the Edmonton campus (including the Cameron and Rutherford libraries) as well as the original library collection of the University of Calgary, which was a "branch plant" campus of the U of A until 1965. During this period Mr. Peel also compiled and published Bibliography of the Prairie Provinces to 1953 (1956). He served on seemingly endless library committees and boards, and was president of the Library Association of Alberta (LAA), the Canadian Library Association (CLA), and the Canadian Association of Research Libraries (CARL). In 1982, the year of his retirement, he was honored with the Canadian Library Association's Award for Outstanding Service to Librarianship, the naming of the rare book room the "Bruce Peel Special Collections Library" and later, in 1991, by an honorary doctorate conferred by the University of Alberta. He was instrumental in the creation of both the University of Alberta's library school and its press, and a member of the seminal Symons Commission on Canadian Studies (1976-81), for which he drafted documents on the role of libraries in supporting Canadian studies, and the need for a national microfilming project, known as C.I.H.M. (Canadian Institute for Historical Microreproductions), on whose Board of Directors he also served.  Mr. Peel passed away in 1998. He was survived by his wife Mary, daughter Alison (Nussbanmer), and son Brian.	peel-bruce.xml
Corporate body	Division of Community Development	University of Alberta Division of Community Development	1968 - 1982	This interdisciplinary graduate program, which began in 1968 under the auspices of the Faculty of Graduate Studies and Research, offered a two-year MA designed to meet the Need for people trained in principles and practices of urban and rural community development in Canada and abroad. The program was under the supervision of the Interdepartmental Committee on Community Development, until 1976 when it became a division under Interdisciplinary studies. In 1928 it was determined that a need no longer existed for the program, and it was discontinued.	This interdisciplinary graduate program, which began in 1968  under the auspices of the Faculty of Graduate Studies and  Research, offered a two-year MA designed to meet the need for  people trained in the principles and practices of urban and rural  community development in Canada and abroad.  The program was under  the supervision of the Interdepartmental Committee on Community  Development, until 1976 when it became a division under Interdisciplinary Studies.  In 1982 it was determined that a need  no longer existed for the program, and it was discontinued. Coordinators: [1968]-1975 Glen Allenby Eyford.   Directors: 1975-  1981 Glen Allenby Eyford; 1981-1982 Ahmad Sami Abdel Mohsen.	university-of-alberta-division-of-community-development.xml
Corporate body	Edmonton and District Dental Society	Edmonton and District Dental Society	1910 -	The Edmonton Dental Society held its first organizational meeting in 1913. It changed its name to the Edmonton and District Dental Association, circa 1946. Its aims are to promote good relations between the dental profession and the community, to further dental education and to monitor the practice of dentistry in the city and district.	The Edmonton Dental Society held its first organizational meeting in 1913. It changed its name to the Edmonton and District Dental Association, circa 1946. Its aims are to promote good relations between the dental profession and the community, to further dental education and to monitor the practice of dentistry in the city and district.	edmonton-and-district-dental-society-001.xml
Corporate body	Chancellor and Senate	University of Alberta Chancellor and Senate	1906 -	The Alberta University Act, 1906, created the Senate as the governing body of the University of Alberta. Its first meeting, in March 1908, set the policy for the opening of the University in September of that year. The original mandate of the Senate addressed all academic activities of the University, and was originally responsible for interpreting the University to the public, administering faculty councils, and addressing the activities of all academic staff. In 1910 the Act was rewritten, giving administrative powers to the Board of Governors and academic powers to the Senate. A further revision in 1942 assigned academic authority to the General Faculties Council and brought the Senate’s duties and powers closer to what they are today under the provisions of the Universities Act of 1976: “It is the duty of the senate to inquire into any matter that might tend to enhance the usefulness of the university.” The responsibilities of the current Senate involve communication and public outreach; it seeks to stimulate discussion on issues of concern and to aid in their resolution, and acts as a bridge between the University and the public. (From the Past to the Future, pp 7)    The Senate, chaired by the Chancellor of the University, comprises 62 members which include: 30 elected members of the public representing affiliated colleges or institutions, geographical areas and groups, and organizations with an interest in the University; 9 members of the public appointed by the Minister of Advanced Education; 2 members of the non-academic staff, appointed by the Minister of Advance Education; 2 appointees from the Board of Governors; 3 appointees from the General Faculties Council; 2 appointees from the Deans’ Council; 2 appointees from the Alumni Association; 4 students appointed by the Students’ Union; 1 student appointed by the Graduate Students’ Association; and 7 ex officio members (including the presidents of the University and the Alumni Association).    Formal meetings of the Senate are half-day long and are usually held four times a year, under the chairmanship of the Chancellor. The Chancellor, who confers all degrees, is the titular head of the University and represents the public interest in the University. These meetings, open to the public, are used to “provide Albertans with information on matters of interest or current concern in post-secondary education” (Senate brochure).    It is the mandate of the Senate to communicate the needs and views of Albertans to the University and the Alberta government, and to interpret to the public the many facets of the University. The Senate has the power to require a report from any part of the University, and may receive submissions from any member of the public. Ad hoc committees may be set up to consider specific issues, or a task force may be formed to investigate an educational matter brought to Senate’s attention. Subsequently, the Senate will present a report with recommendations, and establish follow-up committees to consider how the recommendations are being implemented.    The current Senate has five standing committees: Executive; Nominating; Honorary Degrees; Community Relations; and one to allocate the Emil Skarin Fund. The work of the Senate is coordinated by and executive officer and support staff.    The Senate has the power to confer honorary degrees, and in this way is able to recognize in a distinctive way the contributions that Albertans and others have made to life and learning. The Senate is also involved in seeking financial support for projects closely associated with its role.	By the authority of the University Act of 1906 the Senate was the sole governing body of the University.  Its first meeting, in March 1908, set the policy for the opening of the University in September of that year.  In 1910 the Act was rewritten, giving administrative powers to the Board of Governors and academic powers to the Senate.  A further revision in 1942 assigned academic authority to the General Faculties Council and brought the Senate's duties and powers closer to what they are today under the provisions of the Universities Act of 1966. The Chancellor of the University is Chair of the Senate, which has 62 members, 30 of whom are elected from the general public, 9 appointed from the public by the Minister of Advanced Education, 16 representatives from the University community, and 7 ex officio members (including the presidents of the University and the Alumni Association). It is the mandate of the Senate to inquire into any matter that might tend to enhance the usefulness of the University.  It is specifically authorized to interpret the University to the public; to require reports from faculty councils, the Students' Council, and any members of the academic staff; to receive and consider submissions from anyone interested in the University; to arrange for public meetings, radio and television programs and other means of providing and acquiring information on the University; as a consequence, to make reports and recommendations to the Board or the General Faculties Council or other appropriate body.  In addition, the Senate authorizes the conferring of Honorary Degrees. The Senate brings together the University and the public. Although it has little formal decision-making power, it seeks to stimulate discussion on issues of concern and to aid in their resolution.  It is a two-way link between the communities (Calendar 1990/91). Chancellors: 1908-1926 Charles Allen Stuart; 1926-1927 Nicholas Dubois Dominic Beck; 1927-1941 Alexander Cameron Rutherford; 1941-1946 Frank Ford; 1946-1952  George Frederick McNally; 1952-1958 Earle Parkhill Scarlett; 1958-1964 Lawrance Yeomans Cairns; 1964-1970 Francis Philip Galbraith; 1970-1974 Louis Armand Desrochers; 1974-1978 Ronald Norman Dalby; 1978-1982 Jean B. (Janz) Forest; 1982-1986 Peter Savaryn; 1986-1990 Tevie H. Miller; 1990-1994 Sandy A. Mactaggart.	university-of-alberta-chancellor-and-senate.xml
Person	Janzen, William Eldon	Janzen William Eldon	1896 - 1977	W.E. Janzen taught school in Rosthern, Saskatchewan, for ten years before registering in the University of Alberta's dentistry program in1927. As a student he supported himself by playing in the Canadian Officers' Training Corps (COTC) band, the University Rink Band and the Varsity Five dance band and by working summers for Western Canadian Chautaqua. After graduation he set up a dental practice in Wetaskiwin, where he worked for 42 years until his retirement.	Dentist, 1896-1977.  W.E. Janzen taught school in Rosthern, Saskatchewan, for ten years before  registering in the University of Alberta's dentistry program in 1927.  As a student he supported  himself by playing in the Canadian Officers' Training Corps (COTC) band, the University Rink  band and the Varsity Five dance band and by working summers for Western Canadian Chautauqua.  After graduation he set up a dental practice in Wetaskiwin, where he worked for 42 years until his  retirement.	janzen-william-eldon.xml
Corporate body	Alberta Heritage Foundation for Medical Research	Alberta Heritage Foundation for Medical Research			The Alberta Heritage Foundation for Medical Research (AHFMR) was established by the Government of Alberta in 1980 to support biomedical and health research at Alberta universities, affiliated institutions, and other medical and technology-related institutions. Operating funds come from a portion of the interest revenue from a Government endowment, with an initial investment of $300 million. AHFMR supports more than 200 senior researchers recruited from Alberta and around the world, and approximately 350 researchers-in-training. Since 1980, AHFMR has supported more than 8500 positions, providing unprecedented opportunities for research careers. AHFMR is governed by a Board of Trustees with representatives from the universities, the medical profession and the general public. AHFMR is headed by a President who is the CEO. The Board of Trustees are advised by an international Scientific Advisory Council and other groups, including committees of researchers who assess applications for awards. AHFMR reports to the people of Alberta through the Minister of Innovation and Science but is arms-length from government. Every six years an International Board of Review assesses AHFMR Programs and submits a report to AHFMR and the Government of Alberta.	alberta-heritage-foundation-for-medical-research.xml
Person	Wheeler, Anne	Wheeler Anne	1946 -	Writer, Director, Filmmaker – Anne Wheeler was born in Edmonton, Alberta, in 1946. She grew up in Edmonton where she enjoyed exploring the country north of the capital with her pony. As a youth she enjoyed music and drama, taking the lead in her school plays and touring with a children's theatre company during the summers. Following high school, Wheeler pursued a B.Sc. in mathematics at the University of Alberta (UofA). She completed her degree in 1967. Upon graduation Wheeler travelled Western Europe and the Middle East. On her return she enrolled in a music program with the goal of pursuing a career in music and drama as a high school music teacher. Wheeler received her music teaching certificate in 1969. She resumed travelling and returned to Edmonton in 1971 after exploring more areas of the Middle East and Africa. On her return she began a Masters in music education at the UofA. During her UofA graduate studies Wheeler began to pursue her interest in filmmaking. She joined Film West Associates, a collective of independent filmmakers sharing a passion for filmmaking, a dearth of experience, and an interest in creating films about the West. After five years and several award winning short films, the cooperative started to dissolve. By then Wheeler was prepared to completely leave music teaching to continue filmmaking. In this period she worked predominantly with the National Film Board and in 1976 she participated in the establishment of the NFB’s North West Centre in Edmonton. Wheeler produced several films in her association with the NFB. These included Great Grandmother (1975), Augusta (1976), Happily Unmarried (1977), Teach Me to Dance (1978), and A War Story (1982). A War Story proved to be a watershed in her career. The film garnered many international awards, among them the Blue Ribbon Award at the American Film Festival (1983).    Beyond filmmaking Wheeler also found time to start a family. She married Garth Hendren and in 1979 had twin boys, Quincy and Morgan.    In the early 1980s the National Film Board (NFB) released all directors from its staff. Although Wheeler worked as both a producer and director at the NFB, she decided to quit for the opportunity of independent filmmaking. Her first post-NFB effort was A Change of Heart (1983), a film she co-wrote with Anne Frank. Produced for the CBC, it was Wheeler’s first entirely dramatic film, a new direction for her art. Wheeler followed this film with Loyalties (1985), her most critically acclaimed work. The work won several awards including: Portugal Film Fest, Best Actress; France, Critic's Choice; Quebec, Critic's Choice. It was also her first dramatic feature film. Bye Bye Blues (1989), Wheeler’s next film, is her greatest commercial success to date.    Wheeler moved to Salt Spring Island in 1990 and became more closely involved with the film and television industry in Vancouver. This was a time when Wheeler expressed difficulty finding funding to produce feature length films. Accordingly, the move to the coast initiated a string of television works, particularly for the CBC, including The Diviners (1993), The War between Us (1994), Mother Trucker, Diana Kilmury: Teamster (1996), The Sleep Room (1997), and North of 60. In 1998, Wheeler directed the first three episodes of Da Vinci's Inquest. The CBC series continues in the successful style she established. In 1993 Wheeler had her first work produced in an American context. Working with producers Eileen Berg and Harold Tichner, Wheeler directed the made for television movie Other Women's Children, for A.B.C. In cooperation with Crescent Films, the movie won a Cable Ace Award for Performance. It was later aired on Lifetime in the United States, and Superchannel/C.B.C. in Canada.    In 1999 Wheeler made Better than Chocolate working with Telefilm Canada, Rave Film Inc., and the British Columbia Film Commission. It was a return to feature films and comedy. The film was a popular and critical success on an international level. She followed this with three more dramas, Marine Life (2000), Suddenly Naked (2001) and Edge of Madness (2002). The first two continued Wheelers’ exploration of traditional relationships and sexual convention, the latter returns to her interest in the women’s experience of early Prairie life.    Wheeler has continued her work in both television and film. Recent television works include A Sleep Room, The Investigation (2002) and This is Wonderland.   Wheeler continues to write, direct and produce films. She has also started teaching at the University of British Columbia. She currently lives in White Rock with her family. To date, she boasts six honorary doctorates and an Order of Canada in recognition of art.	Writer, Director, Filmmaker. 1946-.  Anne Wheeler was born in Edmonton, Alberta, in 1946. Upon completing high school, Ms. Wheeler entered the University of Alberta, graduating with a B.Sc. in Mathematics in 1967. During her twenties, Ms. Wheeler was employed at a variety of careers including computer programming, teaching high school and acting. In 1971, Ms. Wheeler joined a collective of nine individuals determined to document in film the trials and tribulations of life in Western Canada. The collective, entitled Film West, and with no previous filmmaking experience, was within a year winning awards from major film festivals for their documentaries. In 1976, Ms. Wheeler left the collective and continued her career in film as a freelancer, primarily by writing and directing documentaries and short films for the National Film Board of Canada.  In 1981, she wrote and directed her first feature film, A War Story (1981), starring Donald Sutherland and based on her father's experiences as a doctor in a Japanese Prisoner of War camp. Ms. Wheeler has gone on to produce numerous other feature films including Bye Bye Blues (1990), Better Than Chocolate (1999), Loyalties (1984) and Angel Square (1989). Ms. Wheeler has also directed several vehicles for television including a Movie of the Week adaptation of Margaret Laurence's The Diviners (1990) which received a Genie Award for best M.O.W. in 1990. Ms. Wheeler has also directed episodes of Canadian television dramas such as Davinci's Inquest and Cold Squad. Ms. Wheeler's works have received acclaim and won awards in Canada, the United States, and Europe, and she has been the recipient of six honorary doctorates including her alma mater, the University of Alberta in 1990. Ms. Wheeler was also elected an Officer of the Order of Canada in 1994.	wheeler-anne.xml
Person	Parker, James McPherson	Parker James McPherson	1934 - 1990	"Jim Parker taught social studies in northern Alberta before joining the University of Alberta, his alma mater, in 1968 as its first University Archivist. From 1977-1984 he acted as an adjunct associate professor in the Faculty of Library and Information Studies, and in 1986 he was appointed Director of the newly amalgamated University Archives and Collections. He left his position in 1990 to become Northern Area Manager for the Alberta Historic Sites Service of Alberta Culture and Multiculturalism. He lectured and wrote on northern Alberta, in particular oil sands history, and his Master's thesis on Fort Chipewyan, ""Emporium of the North: Fort Chipewyan and the Fur Trade to 1835"", was published in 1987."	Archivist, Teacher, Administrator, 1934-1990.  Jim Parker taught social studies in northern  Alberta before joining the University of Alberta, his alma mater, in 1968 as its first University  Archivist.  From 1977 to 1984 he acted as an adjunct associate professor in the Faculty of Library  and Information Studies, and in 1986 he was appointed Director of the newly amalgamated  University Archives and Collections.  He left his position in 1990 to become Northern Area  Manager for the Alberta Historic Sites Service of Alberta Culture and Multiculturalism.  He lectured  and wrote on northern Alberta, in particular oil sands history, and his Masterþs thesis on Fort Chipewyan, Emporium of the North: Fort Chipewyan and the Fur Trade to 1835, was published in  1987.	parker-james-mcpherson.xml
Person	Bancroft, Hugh	Bancroft Hugh	1904 - 1988	Hugh Bancroft served as choir master and organist for All Saints Cathedral in Edmonton from 1958 to 1980 after holding similar positions at churches ion Winnipeg, Vancouver, Australia and the Bahamas. From 1968 to 1977 he taught for the Department of music at the University of Alberta as a Sessional Instructor. A composer as well as a recitalist, he was awarded the Lambeth Doctorate of Music in 1977.	Organist, Choirmaster, Composer, 1904-1988.  Hugh Bancroft served as choirmaster and organist  for All Saintsþ Cathedral in Edmonton from 1958 to 1980 after holding similar positions at churches  in Winnipeg, Vancouver, Australia and the Bahamas.  From 1968 to 1977 he taught for the  Department of Music at the University of Alberta as a Sessional Instructor.  A composer as well as  a recitalist, he was awarded the Lambeth Doctorate of Music in 1977.	bancroft-hugh.xml
Person	Young, Roland S.	Young Roland S			Chemist, Author, 1906-1988. Roland Young was born in Portage La Prairie in 1906. Upon entering university age, he entered the University of Alberta, graduating with a B.Sc. in 1928 and a M.Sc. in 1930. In 1934, Dr. Young received his doctorate from Cornell University and began working for Inco Mines in Sudbury Ontario before moving to South Africa, first to work as a chemist in the diamond belt of what is now Northern Zimbabwe before moving to Johannesburg to take up a post as head of the Diamond Research Laboratory. In 1949, after a whirlwind courtship, Dr. Young married  Gladys May (maiden name unknown) and the pair remained happily married until Dr. Young's death in 1988. The Youngs returned to Canada in the early 1950s and the childless couple moved to Victoria where Young worked for the B.C. government's Ministry of Energy and Mines. In 1972, the Youngs spent a year in Amman, Jordan, where Dr. Young for the UN as a resident consultant helping to set up the first chemical analysis facility for the government. When he returned to Canada, he spent the rest of his career writing and consulting on chemical issues. A world leader in the study of cobalt, Dr. Young published numerous articles and several books on the topic including The analytical chemistry of cobalt (1966) and Chemical analysis in extractive metallurgy (1971).	young-roland-s.xml
Person	Henry, Arthur Wellesley Campbell	Henry Arthur Wellesley Campbell	1896 - 1988	A.W.C. Henry was a professor of plant pathology from 1922 to 1962 in the Department of Field Crops (later Plant Science). After his retirement from the University as Professor Emeritus, he joined Alberta Agriculture's Crop Clinic Laboratory (later Plant Industry Laboratory), where he continued to conduct research for more than fifteen years. He was a widely published expert on the biological control of soil- born pathogens and flax disease and developed a new strain of flax resistant to rust.	Plant pathologist, 1896-1988.  A.W.C. Henry was a professor of plant pathology from 1922 to  1962 in the Department of Field Crops (later Plant Science).  After his retirement from the  University as Professor Emeritus, he joined Alberta Agriculture's Crop Clinic Laboratory (later  Plant Industry Laboratory), where he continued to conduct research for more than fifteen years.  He  was a widely published expert on the biological control of soil-borne pathogens and flax disease and  developed a new strain of flax resistant to rust.	henry-arthur-wellesley-campbell.xml
Person	Lowe, Cedric James	Lowe Cedric James	1930 - 1975	After lecturing at the London School of Economics, Cedric J. Lowe joined the University in 1968 as a professor of history; he was appointed department Chair in 1973. An internationally known specialist in diplomatic history, he published four books on British and Italian foreign policy before his sudden death in an automobile accident.	Historian, Administrator, 1930-1975.  After lecturing at the London School of Economics, Cedric  J. Lowe joined the University in 1968 as a professor of history; he was appointed department Chair  in 1973.  An internationally known specialist in diplomatic history, he published four books on  British and Italian foreign policy before his sudden death in an automobile accident.	lowe-cedric-james.xml
