typeOfEntity	authorizedFormOfName	datesOfExistence	history	biogHist	XML file
Person	Scott, Donald Burton	[ 1913 ] - 1975	Dr. Scott came to the University of Alberta in 1940, after receiving a PhD in physics from Mc Gill. He became a full professor in 1954 and head of the Physicist Department in 1959. As a member of the President's Committee on Electronic Equipment, he helped bring the first computer to the University in 1957. He was the Director of the Computing Centre from 1961 to 1971. He was a founder and first Chair of the Academic Welfare Committee and President of the Assocaition of Academic Staff of the University of Alberta (AASUA) from 1961 to 1962. He was appointed as the first full-time Ombudsman of the University in 1971, a position he held until his death.	Physicist, Ombudsman, Administrator, [1913]-1975.  Dr. Scott came to the University of Alberta in 1940, after receiving a PhD in physics from McGill. He became a full professor in 1954 and head of the Physics Department in 1959. As a member of the President's Committee on Electronic Equipment, he helped bring the first computer to the University in 1957.  He was the Director of the Computing Centre from 1961 to 1971 and the Chair of the Computing Department from 1964 to 1971.  He was a founder and first Chair of the Academic Welfare Committee and President of the Association of Academic Staff of the University of Alberta (AASUA) from 1961 to 1962.  He was appointed as the first full-time     Ombudsman of the University in 1971, a position he held until     his death.	scott-donald-burton.xml
Person	Wyman, Max	4.14.1916 - 1991	"Dr. Max Wyman joined the University staff in 1943 as a Mathematics lecturer. He became a full professor in 1956, Chair of the Department of Mathematics in 1961, Dean of Science in 1963, Vice-President (Academic) in 1964 and president of the University in 1969, which position he held until his retirement in 1974. In 1976 Dr. Wyman was appointed University Professor. Other areas of service included work on various commissions, including the Alberta Electoral Boundaries Commission and the Board of Review for Provincial Courts in Alberta (Kirby Commission). He also served as Chair of the Alberta Human Rights Commission, 1974-1979.    He is also noted for being an Alberta Junior Golf Champion and for having famously written to Albert Einstein about an error in Einstein’s paper ""The Influence of the Expansion of Space in the Gravitational Fields Surrounding Individual Stars."""	Mathematician, Administrator, 1916-1991.  Dr. Max Wyman joined the University staff in 1943 as a mathematics lecturer.  He became a full professor in 1956, Chair of the Department of Mathematics in 1961, Dean of Science in 1963, Vice-President (Academic) in 1964 and president of the University in 1969, which position he held until his retirement in 1974.  In 1976 Dr. Wyman was appointed University Professor.  Other areas of service included work on various commissions, including the Alberta Electoral Boundaries Commission and the Board of Review for Provincial Courts in Alberta (Kirby Commission).  He also served as Chair of the Alberta Human Rights Commission, 1974-1979.	wyman-max.xml
Person	Clandinin, Michael Thomas	1949 -	Dr. Clandinin received his PhD in plant biology from the University in 1973; he served as a research associate in the Biochemistry Department from 1975 to 1976. After spending several years at the University of Toronto as professor of Natural Sciences, he returned to his alma mater in 1984 to hold joint professorships in the Departments of Foods and Nutrition and Medicine. He has published widely and received numerous awards for his research in nutrition. In 1984 he was named an Alberta Heritage Foundation for Medical Research Scholar.	Medical researcher, 1949- .  Dr. Clandinin received his PhD in plant biology from the University in 1973; he served as a research associate in the Biochemistry Department from 1975 to 1976.  After spending several years at the University of Toronto as professor of Nutritional Sciences, he returned to his alma mater in 1984 to hold joint professorships in the Departments of Foods and Nutrition and Medicine.  He has published widely and received numerous awards for his research in nutrition.  In 1984 he was named an Alberta Heritage Foundation for Medical Research Scholar.	clandinin-michael-thomas.xml
Person	Wheeler, Benjamin	1910 - 1963	Benjamin Wheeler graduated from the University in 1935. He studied tropical medicine in London, then served in the India Medial Service, 1937-1941. While a medical officer with the British in Malaya, he became a POW and spent 1942-1945 in a Japanese camp in Formosa. During his time there, he maintained detailed diaries and case records. After the war he worked at the Baker Clinic in Edmonton; co-founded the Alberta Society of Internists; and did extensive research on extreme deficiency states, congestive heart failure, and peptic ulcers. At his death in 1963, he was the head of the Department of Internal Medicine at the University of Alberta	Physician, 1910-1963.  Benjamin Wheeler graduated from the University in 1935.  He studied tropical medicine in London, then served in the India Medical Service, 1937-1941.  While a medical officer with the British in Malaya, he became a POW and spent 1942-1945 in a Japanese camp in Formosa. During his time there, he maintained detailed diaries and case records.  After the war he worked at the Baker Clinic in Edmonton; co-founded the Alberta Society of Internists; and did extensive research on extreme deficiency states, congestive heart failure, and peptic ulcers. At his death in 1963, he was the head of the Department of Internal Medicine at the University of Alberta.	wheeler-benjamin.xml
Person	Corser, Craig	[ 19-- ] -	Mr. Corser, manager of the Erith Tie Company, Edson Alberta, donated his family's photograph collection to the Department of Forest Science for deposit in the Archives.	Businessman, [19þ]- .  Mr. Corser, manager of the Erith Tie Company, Edson, Alberta, donated his family's photograph collection to the Department of Forest Science for deposit in the Archives.	corser-craig.xml
Person	Pannu, Raj			Educator, Politician, 1934- Raj Pannu was born in Punjab, India in 1934 and completed his undergraduate education in India before coming to Canada in 1962. Upon arrival in Canada Dr. Pannu and his partner Swinder settled in Whitecourt where he taught high school until June 1964 when they moved to Edmonton in order for Dr. Pannu to begin a graduate degree in Education. In 1973, he received a doctorate degree in sociology. After teaching at York University for one year, Dr. Pannu returned to the University of Alberta in 1969 as a full time faculty member and taught there for 27 years in the departments of Educational Policy Studies and Sociology. Upon retirement Dr. Pannu entered politics with the New Democratic Party and in 1997 was elected to the Alberta Legislature as the member for Edmonton-Strathcona. Upon entering the legislature, Pannu served as the New Democrat Opposition House Leader and the caucus spokesperson on a number of portfolios including environment, education, advanced education, energy, human rights and justice. Dr. Pannu was named NDP party leader in February 2000 and was reelected in the 2001 provincial election, taking over 50% of the vote in Edmonton-Stratchcona.	pannu-raj.xml
Corporate body	Nuclear Research Centre	1959 -	The aim of the Nuclear Research Centre is to conduct studies to discover the basic properties of atomic nuclei. Its principal work involves the TRIUMF(Tri- University Meson Facility) Project, an experimental program using a 500 million electron volt cyclotron located in Vancouver, run jointly by the Universities of Alberta, British Columbia and Victoria and Simon Fraser University. Staff collaborate less directly on other accelerator projects in Canada, the United States and France. The Centre offers fellowships for research in subatomic physics.	The aim of the Nuclear Research Centre is to conduct studies to discover the basic properties of  atomic nuclei.  Its principal work involves the TRIUMF (Tri-University Meson Facility) Project, an  experimental program using a 500 million electron volt cyclotron located in Vancouver, run jointly  by the Universities of Alberta, British Columbia and Victoria and Simon Fraser University.  Staff  collaborate less directly on other accelerator projects in Canada, the United States and France.  The  Centre offers fellowships for research in subatomic physics. Directors: 1959-1986 Gordon Croyden Neilson; 1986-1988 John M. Cameron; 1988-1989 Gerald  Roy (Acting); 1989-  Peter Kitching.	nuclear-research-centre.xml
Person	Macgregor Smith, John	[ 1886 ] - 1950	After serving with the University of Saskatchewan from 1913 to 1920, John Macgregor Smith joined the University of Alberta in 1921 as its first professor of agricultural engineering. His chief research interest lay in soil-preserving tillage methods and farm machinery. He was a fellow of the Agricultural Institute of Canada and of the American Society of Agricultural Engineers, and honorary life member of the undergraduate students' Agricultural Club.	Agricultural engineer, [1886]-1950.  After serving with the University of Saskatchewan from 1913  to 1920, John Macgregor Smith joined the University of Alberta in 1921 as its first professor of  agricultural engineering.  His chief research interest lay in soil-preserving tillage methods and farm machinery.  He was a fellow of the Agricultural Institute of Canada and of the American Society of  Agricultural Engineers, and an honorary life member of the undergraduate studentsþ Agricultural  Club.	macgregor-smith-john.xml
Person	Lesins, Karlis A.	1906 - 1982	Karlis A. Lesins, DSc, was appointed to the Department of Plant Science at the university in 1954. He held the position of research professor of Genetics and Plant Breeding from 1962 to 1971 and was named Professor Emeritus on his retirement. His career focused on the study of self-fertilizing strain of alfalfa.	Plant geneticist, 1906-1982.  Karlis A. Lesins, DSc, was appointed to the Department of Plant Science at the University in 1954.  He held the position of research professor of Genetics and Plant Breeding from 1962 to 1971 and was named Professor Emeritus on his retirement.  His career focused on the study of medicago, in particular the development of a self-fertilizing strain of alfalfa.	lesins-karlis.xml
Person	Peel, Bruce			Librarian, Author, 1916-1998. Bruce Braden Peel was born November 11, 1916 on a homestead near Ferland, in southern Saskatchewan, and grew up on the prairies. He earned a teacher's credential and in 1937 began teaching school in rural Saskatchewan, and later in Saskatoon. But he had ambitions which required more education, which the Depression and the outbreak of war served to delay. Although unfit for military service because of his eyes, he nonetheless volunteered, and ended up painting ships at the Lakehead. After returning to Saskatchewan, he took both bachelor's and master's degrees in history, then went east to earn a library degree at the University of Toronto. Returning to the University of Saskatchewan in 1946, he was appointed curator of the Adam Shortt Collection of Canadiana. In 1951 he moved, with his new bride, Margaret (Fullerton), to the University of Alberta Library as chief cataloguer, quickly rose to the position of deputy librarian, and in 1955 was appointed "Librarian to the University." As a library administrator, he guided the growth of the University of Alberta Library from a very modest size to its present rank, as one of Canada's three largest research libraries; planned and developed six library facilities on the Edmonton campus (including the Cameron and Rutherford libraries) as well as the original library collection of the University of Calgary, which was a "branch plant" campus of the U of A until 1965. During this period Mr. Peel also compiled and published Bibliography of the Prairie Provinces to 1953 (1956). He served on seemingly endless library committees and boards, and was president of the Library Association of Alberta (LAA), the Canadian Library Association (CLA), and the Canadian Association of Research Libraries (CARL). In 1982, the year of his retirement, he was honored with the Canadian Library Association's Award for Outstanding Service to Librarianship, the naming of the rare book room the "Bruce Peel Special Collections Library" and later, in 1991, by an honorary doctorate conferred by the University of Alberta. He was instrumental in the creation of both the University of Alberta's library school and its press, and a member of the seminal Symons Commission on Canadian Studies (1976-81), for which he drafted documents on the role of libraries in supporting Canadian studies, and the need for a national microfilming project, known as C.I.H.M. (Canadian Institute for Historical Microreproductions), on whose Board of Directors he also served.  Mr. Peel passed away in 1998. He was survived by his wife Mary, daughter Alison (Nussbanmer), and son Brian.	peel-bruce.xml
Corporate body	Edmonton and District Dental Society	1910 -	The Edmonton Dental Society held its first organizational meeting in 1913. It changed its name to the Edmonton and District Dental Association, circa 1946. Its aims are to promote good relations between the dental profession and the community, to further dental education and to monitor the practice of dentistry in the city and district.	The Edmonton Dental Society held its first organizational meeting in 1913. It changed its name to the Edmonton and District Dental Association, circa 1946. Its aims are to promote good relations between the dental profession and the community, to further dental education and to monitor the practice of dentistry in the city and district.	edmonton-and-district-dental-society-001.xml
Person	Janzen, William Eldon	1896 - 1977	W.E. Janzen taught school in Rosthern, Saskatchewan, for ten years before registering in the University of Alberta's dentistry program in1927. As a student he supported himself by playing in the Canadian Officers' Training Corps (COTC) band, the University Rink Band and the Varsity Five dance band and by working summers for Western Canadian Chautaqua. After graduation he set up a dental practice in Wetaskiwin, where he worked for 42 years until his retirement.	Dentist, 1896-1977.  W.E. Janzen taught school in Rosthern, Saskatchewan, for ten years before  registering in the University of Alberta's dentistry program in 1927.  As a student he supported  himself by playing in the Canadian Officers' Training Corps (COTC) band, the University Rink  band and the Varsity Five dance band and by working summers for Western Canadian Chautauqua.  After graduation he set up a dental practice in Wetaskiwin, where he worked for 42 years until his  retirement.	janzen-william-eldon.xml
Corporate body	Alberta Heritage Foundation for Medical Research			The Alberta Heritage Foundation for Medical Research (AHFMR) was established by the Government of Alberta in 1980 to support biomedical and health research at Alberta universities, affiliated institutions, and other medical and technology-related institutions. Operating funds come from a portion of the interest revenue from a Government endowment, with an initial investment of $300 million. AHFMR supports more than 200 senior researchers recruited from Alberta and around the world, and approximately 350 researchers-in-training. Since 1980, AHFMR has supported more than 8500 positions, providing unprecedented opportunities for research careers. AHFMR is governed by a Board of Trustees with representatives from the universities, the medical profession and the general public. AHFMR is headed by a President who is the CEO. The Board of Trustees are advised by an international Scientific Advisory Council and other groups, including committees of researchers who assess applications for awards. AHFMR reports to the people of Alberta through the Minister of Innovation and Science but is arms-length from government. Every six years an International Board of Review assesses AHFMR Programs and submits a report to AHFMR and the Government of Alberta.	alberta-heritage-foundation-for-medical-research.xml
Person	Wheeler, Anne	1946 -	Writer, Director, Filmmaker – Anne Wheeler was born in Edmonton, Alberta, in 1946. She grew up in Edmonton where she enjoyed exploring the country north of the capital with her pony. As a youth she enjoyed music and drama, taking the lead in her school plays and touring with a children's theatre company during the summers. Following high school, Wheeler pursued a B.Sc. in mathematics at the University of Alberta (UofA). She completed her degree in 1967. Upon graduation Wheeler travelled Western Europe and the Middle East. On her return she enrolled in a music program with the goal of pursuing a career in music and drama as a high school music teacher. Wheeler received her music teaching certificate in 1969. She resumed travelling and returned to Edmonton in 1971 after exploring more areas of the Middle East and Africa. On her return she began a Masters in music education at the UofA. During her UofA graduate studies Wheeler began to pursue her interest in filmmaking. She joined Film West Associates, a collective of independent filmmakers sharing a passion for filmmaking, a dearth of experience, and an interest in creating films about the West. After five years and several award winning short films, the cooperative started to dissolve. By then Wheeler was prepared to completely leave music teaching to continue filmmaking. In this period she worked predominantly with the National Film Board and in 1976 she participated in the establishment of the NFB’s North West Centre in Edmonton. Wheeler produced several films in her association with the NFB. These included Great Grandmother (1975), Augusta (1976), Happily Unmarried (1977), Teach Me to Dance (1978), and A War Story (1982). A War Story proved to be a watershed in her career. The film garnered many international awards, among them the Blue Ribbon Award at the American Film Festival (1983).    Beyond filmmaking Wheeler also found time to start a family. She married Garth Hendren and in 1979 had twin boys, Quincy and Morgan.    In the early 1980s the National Film Board (NFB) released all directors from its staff. Although Wheeler worked as both a producer and director at the NFB, she decided to quit for the opportunity of independent filmmaking. Her first post-NFB effort was A Change of Heart (1983), a film she co-wrote with Anne Frank. Produced for the CBC, it was Wheeler’s first entirely dramatic film, a new direction for her art. Wheeler followed this film with Loyalties (1985), her most critically acclaimed work. The work won several awards including: Portugal Film Fest, Best Actress; France, Critic's Choice; Quebec, Critic's Choice. It was also her first dramatic feature film. Bye Bye Blues (1989), Wheeler’s next film, is her greatest commercial success to date.    Wheeler moved to Salt Spring Island in 1990 and became more closely involved with the film and television industry in Vancouver. This was a time when Wheeler expressed difficulty finding funding to produce feature length films. Accordingly, the move to the coast initiated a string of television works, particularly for the CBC, including The Diviners (1993), The War between Us (1994), Mother Trucker, Diana Kilmury: Teamster (1996), The Sleep Room (1997), and North of 60. In 1998, Wheeler directed the first three episodes of Da Vinci's Inquest. The CBC series continues in the successful style she established. In 1993 Wheeler had her first work produced in an American context. Working with producers Eileen Berg and Harold Tichner, Wheeler directed the made for television movie Other Women's Children, for A.B.C. In cooperation with Crescent Films, the movie won a Cable Ace Award for Performance. It was later aired on Lifetime in the United States, and Superchannel/C.B.C. in Canada.    In 1999 Wheeler made Better than Chocolate working with Telefilm Canada, Rave Film Inc., and the British Columbia Film Commission. It was a return to feature films and comedy. The film was a popular and critical success on an international level. She followed this with three more dramas, Marine Life (2000), Suddenly Naked (2001) and Edge of Madness (2002). The first two continued Wheelers’ exploration of traditional relationships and sexual convention, the latter returns to her interest in the women’s experience of early Prairie life.    Wheeler has continued her work in both television and film. Recent television works include A Sleep Room, The Investigation (2002) and This is Wonderland.   Wheeler continues to write, direct and produce films. She has also started teaching at the University of British Columbia. She currently lives in White Rock with her family. To date, she boasts six honorary doctorates and an Order of Canada in recognition of art.	Writer, Director, Filmmaker. 1946-.  Anne Wheeler was born in Edmonton, Alberta, in 1946. Upon completing high school, Ms. Wheeler entered the University of Alberta, graduating with a B.Sc. in Mathematics in 1967. During her twenties, Ms. Wheeler was employed at a variety of careers including computer programming, teaching high school and acting. In 1971, Ms. Wheeler joined a collective of nine individuals determined to document in film the trials and tribulations of life in Western Canada. The collective, entitled Film West, and with no previous filmmaking experience, was within a year winning awards from major film festivals for their documentaries. In 1976, Ms. Wheeler left the collective and continued her career in film as a freelancer, primarily by writing and directing documentaries and short films for the National Film Board of Canada.  In 1981, she wrote and directed her first feature film, A War Story (1981), starring Donald Sutherland and based on her father's experiences as a doctor in a Japanese Prisoner of War camp. Ms. Wheeler has gone on to produce numerous other feature films including Bye Bye Blues (1990), Better Than Chocolate (1999), Loyalties (1984) and Angel Square (1989). Ms. Wheeler has also directed several vehicles for television including a Movie of the Week adaptation of Margaret Laurence's The Diviners (1990) which received a Genie Award for best M.O.W. in 1990. Ms. Wheeler has also directed episodes of Canadian television dramas such as Davinci's Inquest and Cold Squad. Ms. Wheeler's works have received acclaim and won awards in Canada, the United States, and Europe, and she has been the recipient of six honorary doctorates including her alma mater, the University of Alberta in 1990. Ms. Wheeler was also elected an Officer of the Order of Canada in 1994.	wheeler-anne.xml
Person	Parker, James McPherson	1934 - 1990	"Jim Parker taught social studies in northern Alberta before joining the University of Alberta, his alma mater, in 1968 as its first University Archivist. From 1977-1984 he acted as an adjunct associate professor in the Faculty of Library and Information Studies, and in 1986 he was appointed Director of the newly amalgamated University Archives and Collections. He left his position in 1990 to become Northern Area Manager for the Alberta Historic Sites Service of Alberta Culture and Multiculturalism. He lectured and wrote on northern Alberta, in particular oil sands history, and his Master's thesis on Fort Chipewyan, ""Emporium of the North: Fort Chipewyan and the Fur Trade to 1835"", was published in 1987."	Archivist, Teacher, Administrator, 1934-1990.  Jim Parker taught social studies in northern  Alberta before joining the University of Alberta, his alma mater, in 1968 as its first University  Archivist.  From 1977 to 1984 he acted as an adjunct associate professor in the Faculty of Library  and Information Studies, and in 1986 he was appointed Director of the newly amalgamated  University Archives and Collections.  He left his position in 1990 to become Northern Area  Manager for the Alberta Historic Sites Service of Alberta Culture and Multiculturalism.  He lectured  and wrote on northern Alberta, in particular oil sands history, and his Masterþs thesis on Fort Chipewyan, Emporium of the North: Fort Chipewyan and the Fur Trade to 1835, was published in  1987.	parker-james-mcpherson.xml
Person	Bancroft, Hugh	1904 - 1988	Hugh Bancroft served as choir master and organist for All Saints Cathedral in Edmonton from 1958 to 1980 after holding similar positions at churches ion Winnipeg, Vancouver, Australia and the Bahamas. From 1968 to 1977 he taught for the Department of music at the University of Alberta as a Sessional Instructor. A composer as well as a recitalist, he was awarded the Lambeth Doctorate of Music in 1977.	Organist, Choirmaster, Composer, 1904-1988.  Hugh Bancroft served as choirmaster and organist  for All Saintsþ Cathedral in Edmonton from 1958 to 1980 after holding similar positions at churches  in Winnipeg, Vancouver, Australia and the Bahamas.  From 1968 to 1977 he taught for the  Department of Music at the University of Alberta as a Sessional Instructor.  A composer as well as  a recitalist, he was awarded the Lambeth Doctorate of Music in 1977.	bancroft-hugh.xml
Person	Young, Roland S.			Chemist, Author, 1906-1988. Roland Young was born in Portage La Prairie in 1906. Upon entering university age, he entered the University of Alberta, graduating with a B.Sc. in 1928 and a M.Sc. in 1930. In 1934, Dr. Young received his doctorate from Cornell University and began working for Inco Mines in Sudbury Ontario before moving to South Africa, first to work as a chemist in the diamond belt of what is now Northern Zimbabwe before moving to Johannesburg to take up a post as head of the Diamond Research Laboratory. In 1949, after a whirlwind courtship, Dr. Young married  Gladys May (maiden name unknown) and the pair remained happily married until Dr. Young's death in 1988. The Youngs returned to Canada in the early 1950s and the childless couple moved to Victoria where Young worked for the B.C. government's Ministry of Energy and Mines. In 1972, the Youngs spent a year in Amman, Jordan, where Dr. Young for the UN as a resident consultant helping to set up the first chemical analysis facility for the government. When he returned to Canada, he spent the rest of his career writing and consulting on chemical issues. A world leader in the study of cobalt, Dr. Young published numerous articles and several books on the topic including The analytical chemistry of cobalt (1966) and Chemical analysis in extractive metallurgy (1971).	young-roland-s.xml
Person	Henry, Arthur Wellesley Campbell	1896 - 1988	A.W.C. Henry was a professor of plant pathology from 1922 to 1962 in the Department of Field Crops (later Plant Science). After his retirement from the University as Professor Emeritus, he joined Alberta Agriculture's Crop Clinic Laboratory (later Plant Industry Laboratory), where he continued to conduct research for more than fifteen years. He was a widely published expert on the biological control of soil- born pathogens and flax disease and developed a new strain of flax resistant to rust.	Plant pathologist, 1896-1988.  A.W.C. Henry was a professor of plant pathology from 1922 to  1962 in the Department of Field Crops (later Plant Science).  After his retirement from the  University as Professor Emeritus, he joined Alberta Agriculture's Crop Clinic Laboratory (later  Plant Industry Laboratory), where he continued to conduct research for more than fifteen years.  He  was a widely published expert on the biological control of soil-borne pathogens and flax disease and  developed a new strain of flax resistant to rust.	henry-arthur-wellesley-campbell.xml
Person	Lowe, Cedric James	1930 - 1975	After lecturing at the London School of Economics, Cedric J. Lowe joined the University in 1968 as a professor of history; he was appointed department Chair in 1973. An internationally known specialist in diplomatic history, he published four books on British and Italian foreign policy before his sudden death in an automobile accident.	Historian, Administrator, 1930-1975.  After lecturing at the London School of Economics, Cedric  J. Lowe joined the University in 1968 as a professor of history; he was appointed department Chair  in 1973.  An internationally known specialist in diplomatic history, he published four books on  British and Italian foreign policy before his sudden death in an automobile accident.	lowe-cedric-james.xml
Person	Chalmers, John W.			Administrator, Educator, Author, [1910?]- .  After a career as a teacher, principal and administrator with the Alberta Department of Education, John W. Chalmers joined the staff of the Faculty of Education in 1969 as associate professor of Educational Foundations. He also acted as the director of an intercultural program aimed at training teachers planning to work in northern native communities. He retired as Professor Emeritus in 1975. He has been a prolific author of textbooks, poetry and local histories, including a biography of educator Milton Ezra LaZerte.	chalmers-john-w.xml
Corporate body	Canadian Phytopathological Society. Alberta Regional Group	[1933] - 1979	The Canadian Phytopathology Society, Alberta Regional Group, consisted of professional plant pathologists, plant pathology graduate students, technicians and other professionals interested in plant pathology and plant disease in Alberta. It was succeeded in 1979 by Plant Pathology Society of Alberta.	The Canadian Phytopathology Society, Alberta Regional Group, consisted of professional plant pathologists, plant pathology graduate students, technicians and other professionals interested in plant pathology and plant disease in Alberta.  It was succeeded in 1979 by the Plant Pathology Society of Alberta.	canadian-phytopathological-society-alberta-regional-group.xml
Person	Daniel, Edwin Embrey	[ 19-- ] -	E.E.Daniel was professor of Pharmacology, 1961 to 1972, he left the University in 1977. He serves as President of the Association of the Academic Staff of the University of Alberta, 1966-1967, and was coordinator the University's Interdisciplinary Committee of Environmental Quality.	Pharmacologist, Administrator, ca. 1920 - .  E.E. Daniel was professor and first head of the Department of Pharmacology, 1961 to 1972; he left the University in 1977.  He served as President of the Association of the Academic Staff of the University of Alberta, 1966-1967, and was coordinator for the University's Interdisciplinary Committee on Environmental Quality.	daniel-edwin-embrey.xml
Person	Ross, Donald Murray	1914 - 1986	Donald M. Ross came from Cambridge Unviersity to join the University as a professor and head of the Department of Zoology. In 1964 he was named Dean of Science, a position he held until 1976. He retired as Professor Emeritus in 1979. A marine biologist, his research focused on the biological behavior of marine animals and colour changes in fish. He was instrumental in the establishment of Bamfield Marine Research Station on Vancouver Island in 1970. His films of marine animal behavior have been shown at universities throughout the world.	Zoologist, Marine biologist, 1914-1986.  Donald M. Ross came from Cambridge University in 1961 to join the University  as professor and head of the Department of Zoology.  In 1964 he was named Dean of Science, a position he held until 1976.  He retired as Professor Emeritus in 1979. A marine biologist, his research focused on the biological behaviour of marine animals and colour changes in fish.  He was instrumental in the establishment of Bamfield Marine Research Station on Vancouver Island in 1970.  His films of marine animal behaviour have been shown at universities throughout the world.	ross-donald-murray.xml
Corporate body	Blue Stocking Club	1925 - [196-]	Founded by Dorothy (Duff) Burt, the Blue Stocking club was a general discussion group for women at the University of Alberta. The emphasis of the group was on history and public affairs.	Founded by Dorothy (Duff) Burt, the Blue Stocking Club was a general discussion group for women at the University of Alberta. The emphasis of the group was on history and public affairs.	blue-stocking-club.xml
Person	McKitrick, Eva A.	[ 189-- ] -	Eva A. McKitrick was a graduate of the class on 1922 at the University of Alberta. The class on '22 organized as a group in 1919 and held its most recent reunion in 1992.	Alumna, [189-]-  .  Eva A. McKitrick was a graduate of the class of 1922 at the University of  Alberta.  The class of '22 organized as a group in 1919 and held its most recent reunion in 1982.	mckitrick-eva.xml
Person	Card, Brigham Young			B.Y. Card was born in Cardston, Alberta on March 11, 1914.  He is the great-grandson of the prominent Mormon leader, Brigham Young, and the grandson of Charles Ora Card, who led a group of Mormon settlers from Utah to Southern Alberta to settle in the area later named Cardston in honour of the Card family.  B.Y. Card studied science at the University of Utah and the University of Alberta, and served as a Mormon missionary to French-speaking Switzerland from 1938-1940.  B.Y. Card enlisted with the Canadian Army from 1942-1945, working on assignment as a research physicist in Special Services at the Suffield Army Experimental Station in Alberta.  In 1945, Card enrolled in a PhD program at Stanford University in California studying educational sociology.  His thesis was completed in 1959 with a dissertation entitled American Educational Sociology from 1890-1950 - A Sociological Analysis.  He began lecturing at the University of Alberta in 1950, teaching the only sociology course offered at the University.  His research focused primarily on social change in Western Canadian communities, and with comparative sociology of education.  While at the University of Alberta, he helped organize the Campus Cooperative Residence, the LDS Club, the Department of Educational Foundations, Intercultural Education, Community Development, and Community Education. After a long and active research and teaching career with the University of Alberta, B.Y. Card retired as Professor Emeritus of the Department of Educational Foundations in1979.  He was an adjunct professor at Brigham Young University from 1980-1981, and taught at Red Deer College from 1981-1984.  In 1984, he was awarded the Sir Frederick Haultain Prize in social sciences for introducing and developing the field of educational sociology in Alberta.  B.Y. Card is retired and living in Lethbridge, Alberta where he continues his research and writing activities.	card-brigham-young.xml
Person	Hodgson, Gordon W.	5.25.1924 - 1.1.2000	"Gordon Hodgson was born in 1924, and raised in Dewberry, Alberta. He received an honors degree in chemistry (1946) at the University of Alberta, and pursued his master's degree there. His PhD was completed in chemistry at McGill University (1949). In the 1950s, Hodgson returned to Alberta to work in the oil industry. He conducted pioneering research work in the development of the Athabasca oil sands, petroleum geology, and oil pipeline technology. By invitation of the National Aeronautics and Space Administration (NASA), Hodgson moved to California in 1967 to study samples of the moon retrieved from Apollo Space Missions. In 1969 Hodgson left NASA and returned to adademia, accepting a position as Professor of Environmental Research at the University of Calgary. He took a four year position as editor of the journal titled ""Arctic: Journal of the Arctic Institute of North America"". He was married to Jeannette Doull in 1953, and together they had five children. Dr. Hodgson was a social activist and publisher with much of this activity done through the Presbyterian Church. Through his church, his social activism included chairing the Presbyterian Church in Canada International Affairs Committee, supporting campaigns against the nuclear arms race, and work in the Save the Children's Fund. Dr. Hodgson died of cancer in January 2000."	Scientist, Activist, Educator, 1924-2000. Gordon Hodgson was born in Dewberry, Alberta in 1924. He graduated from Dewberry's one-room high school in 1942 and completed an honors degree in chemistry at the University of Alberta in 1946. He pursued his master's degree at the University of Alberta and completed his graduate studies in chemistry at McGill University where he finished his Ph.D. Dissertation, "Exchange of Radioiodine Between Inorganic and Organic Iodides," in 1949. In the 1950s Hodgson returned to Alberta to work in the oil industry. He conducted pioneering research work in the development of the Athabasca oil sands, petroleum geology, and oil pipeline technology. By invitation of the National Aeronautics and Space Administration (NASA), Hodgson moved to California in 1967 to study samples of the moon retrieved from the Apollo Space Missions. In 1969 Hodgson left NASA and returned to academia. He took the position of Professor of Environmental Science in the Faculty of Environmental Design at the University of Calgary. In January 1973 he left the Environmental Design Faculty to become the Director of the Kananaskis Centre for Environmental Research at the University of Calgary. After a ten-year tenure as Director of the Centre Hodgson left the Directorship. Semi-retired, Hodgson returned to teaching chemistry at the University of Calgary and became more active in writing and publishing. As his final large-scale academic endeavor he took a four-year position as editor of the journal titled Arctic: Journal of the Arctic Institute of North America. Hodgson always maintained an active private life. He married Jeannette Doull in 1953 and together they had five children. He was a social activist and publisher with much of this activity done through the Presbyterian Church. Following his academic retirement his publishing and editing activities increased. They included, Life and Joy, a 30-year history of the Varsity Acres Presbyterian Church (VAPC), What Name Did you Get?, a history of the Hodgson family, and Lost in the Kitchen, a VAPC cookbook. Through his church, Hodgson's social activism included chairing the Presbyterian Church in Canada International Affairs Committee, supporting campaigns against the nuclear arms race, and work in the Save the Children's Fund. Hodgson died of cancer in January 2,000.	hodgson-gordon-w.xml
Corporate body	International Geographical Union	1922 -	The purpose of the International Geographical Union is to encourage the study of geographical problems and promote international research. A member of the International Council of Scientific Unions, it has nearly 90 member countries, ant its secretariat is housed int he Department of Geography at the University of Alberta. tHese records were generated primarily by Leszek A. Kosinski, professor of Geography at the University and current Secretary General of the Union, during the organization of IGU's Commission on Population Geography and the Symposium on Frontier Settlement for the 22nd International Geographical Congress held in Edmonton 1972.	The purpose of the International Geographical Union is to encourage the study of geographical problems and promote international research.  A member of the International Council of Scientific Unions, it has nearly 90 member countries, and its secretariat is housed in the Department of Geography at the University of Alberta.  These records were generated primarily by Leszek A. Kosinski, professor of Geography at the University and current Secretary-General of the Union, during the organization of IGU's Commission on Population Geography and the Symposium on Frontier Settlement for the 22nd International Geographical Congress held in Edmonton in 1972.	international-geographical-union.xml
