Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Gramsci, Antonio, 1891-1937	n78095485	100	Gramsci, Antonio, 1891-1937	n78095485	n78095485	0.9642857143	Gramsci, Antonio, 1891-1937			Person		http://example.org/1038251#Agent100-10	
Ferrata, Giansiro, 1907-	n79054406	100	Ferrata, Giansiro, 1907-	n79054406	n79054406	1	Ferrata, Giansiro, 1907- 			Person		http://example.org/1038251#Agent700-19	
Gallo, Niccolò	n82222818	96	Gallo, Niccolò	n82222818	n82222818	0.9333333333	Gallo, Niccolò			Person		http://example.org/1038251#Agent700-20	
Baltimore Museum of Art	n79079550	100	Baltimore Museum of Art		n79079550		Baltimore Museum of Art	n79079550	0.9583333333	Organization		http://example.org/109912#Agent110-11	
Miner, Dorothy	n98000357	93	Miner, Dorothy	n98000357	n98000357	0.8235294118	Miner, Dorothy			Person		http://example.org/109912#Agent700-21	
Carlson, Victor I.	n85051121	100	Carlson, Victor I	n85051121	n85051121	0.9444444444	Carlson, Victor I			Person		http://example.org/109912#Agent700-22	
Filby, P. William, 1911-			Filby, P. William, 1911-				Filby, P. William, 1911-			Person		http://example.org/109912#Agent700-23	
Johns Hopkins University. Peabody Institute. Library			Johns Hopkins University. Peabody Institute. Library				Johns Hopkins University. Peabody Institute. Library			Organization		http://example.org/109912#Agent710-24	
Walters Art Gallery (Baltimore, Md.)	n79027105	100	Walters Art Gallery (Baltimore, Md.)		n79027105		Walters Art Gallery (Baltimore, Md.)	n79027105	1	Organization		http://example.org/109912#Agent710-25	
Yashiro, Yukio, 1890-1975	n84178476	100	Yashiro, Yukio, 1890-1975	n84178476	n84178476	1	Yashiro, Yukio, 1890-1975			Person		http://example.org/1081241#Agent100-13	
Kuéss, Gustav R			Kuéss, Gustav R				Kuéss, Gustav R			Person		http://example.org/1031854#Agent100-10	
Freemasons Austria			Freemasons Austria				Freemasons Austria			Organization		http://example.org/1031854#Agent610-18	
Scheichelbauer, Bernhard	n86075201	100	Scheichelbauer, Bernhard	n86075201	n86075201	0.96	Scheichelbauer, Bernhard			Person		http://example.org/1031854#Agent700-19	
Ontario Teachers' Federation. Science Curriculum Committee			Ontario Teachers' Federation. Science Curriculum Committee				Ontario Teachers' Federation. Science Curriculum Committee			Organization		http://example.org/1080502#Agent110-9	
Kleiner, Bernardo			Kleiner, Bernardo				Kleiner, Bernardo			Person		http://example.org/1058798#Agent100-11	
Arnulf, Georges	n82111866	96	Arnulf, George				Arnulf, George			Person		http://example.org/1088342#Agent100-10	
Caridi, Ronald J			Caridi, Ronald J				Caridi, Ronald J			Person		http://example.org/1022199#Agent100-13	
Boynton, Lewis Delano, 1909-	n50043163	100	Boynton, Lewis Delano, 1909-	n50043163	n50043163	1	Boynton, Lewis Delano, 1909-			Person		http://example.org/1014924#Agent100-11	
Carlson, Paul A. (Paul Adolph), 1893-	no96067369	100	Carlson, Paul A. (Paul Adolph), 1893-	no96067369	no96067369	1	Carlson, Paul A. (Paul Adolph), 1893-			Person		http://example.org/1014924#Agent700-23	
Sidney Janis Gallery	n80097579	100	Sidney Janis Gallery		n80097579		Sidney Janis Gallery	n80097579	1	Organization		http://example.org/1080616#Agent110-12	
Teasdale, May Silva	no99000248	100	Teasdale, May Silva	no99000248	no99000248	1	Teasdale, May Silva			Person		http://example.org/1083164#Agent100-11	
New York University. Art Collection	no2007012614	100	New York University. Art Collection				New York University. Art Collection			Organization		http://example.org/1077856#Agent110-11	
Hudson River Museum	n79053071	100	Hudson River Museum		n79053071		Hudson River Museum	n79053071	0.8947368421	Organization		http://example.org/1077856#Agent710-21	
Geddes, Gary, 1940-	n50018243	100	Geddes, Gary, 1940-	n50018243	n50018243	0.8260869565	Geddes, Gary, 1940-			Person		http://example.org/1026716#Agent100-11	
Mallory, Lee	n98034011	100	Mallory, Lee	n98034011	n98034011	1	Mallory, Lee			Person		http://example.org/1034763#Agent100-9	
Dwyer, G. D			Dwyer, G. D				Dwyer, G. D			Person		http://example.org/100749#Agent100-11	
Antrim Demonstration Woodlot			Antrim Demonstration Woodlot				Antrim Demonstration Woodlot			Organization		http://example.org/100749#Agent610-20	
Nova Scotia. Dept. of Lands and Forests	n50055524	93	Nova Scotia. Dept. of Lands and Forests		n50055524		Nova Scotia. Dept. of Lands and Forests	n50055524	0.8636363636	Jurisdiction		http://example.org/100749#Agent810-22	
Mishan, E. J. (Edward J.), 1917-			Mishan, E. J. (Edward J.), 1917-				Mishan, E. J. (Edward J.), 1917-			Person		http://example.org/10874#Agent100-11	
Kąkolewski, Krzysztof, 1930-	n81120468	98	Kąkolewski, Krzysztof, 1930-	n81120468	n81120468	1	Kąkolewski, Krzysztof, 1930-			Person		http://example.org/1097368#Agent100-10	
Desnos, Robert, 1900-1945	n50001632	100	Desnos, Robert, 1900-1945	n50001632	n50001632	1	Desnos, Robert, 1900-1945			Person		http://example.org/1061425#Agent100-10	
Fühmann, Franz, 1922-			Fühmann, Franz, 1922-				Fühmann, Franz, 1922-			Person		http://example.org/1005195#Agent100-12	
Dale, Arch, 1882-1962			Dale, Arch, 1882-1962				Dale, Arch, 1882-1962			Person		http://example.org/1023591#Agent100-10	
Aberhart, William, 1878-1943	n82248542	100	Aberhart, William, 1878-1943	n82248542	n82248542	1	Aberhart, William, 1878-1943			Person		http://example.org/1023591#Agent600-19	
Alberta Social Credit Party	n98000629	100	Alberta Social Credit Party		n98000629		Alberta Social Credit Party	n98000629	1	Organization		http://example.org/1023591#Agent610-20	
Clay, Charles, 1906-1980	no2011112802	100	Clay, Charles, 1906-1980	no2011112802	no2011112802	1	Clay, Charles, 1906-1980			Person		http://example.org/1023591#Agent700-22	
Winnipeg Free Press	n99263181	100	Winnipeg Free Press		n99263181		Winnipeg Free Press	n99263181	1	Organization		http://example.org/1023591#Agent710-23	
Cobban, Alexander			Cobban, Alexander				Cobban, Alexander			Person		http://example.org/100223#Agent100-11	
Wren, Christopher, Sir, 1632-1723	n80102228	100	Wren, Christopher, Sir, 1632-1723	n80102228	n80102228	1	Wren, Christopher, Sir, 1632-1723			Person		http://example.org/100223#Agent600-20	
Wheat, Carl I. (Carl Irving), 1892-1966	n85050468	100	Wheat, Carl I. (Carl Irving), 1892-1966	n85050468	n85050468	1	Wheat, Carl I. (Carl Irving), 1892-1966			Person		http://example.org/1026176#Agent100-11	
Camp, Charles Lewis, 1893-1975	n50031558	100	Camp, Charles Lewis, 1893-1975	n50031558	n50031558	1	Camp, Charles Lewis, 1893-1975			Person		http://example.org/1026176#Agent700-21	
Kelly, L. G. (Louis G.)	n80156309	100	Kelly, L. G. (Louis G.)	n80156309	n80156309	0.9565217391	Kelly, L. G. (Louis G.)			Person		http://example.org/1088779#Agent100-13	
Bach, Johann Sebastian, 1685-1750	n79021425	100	Bach, Johann Sebastian, 1685-1750	n79021425	n79021425	0.9705882353	Bach, Johann Sebastian, 1685-1750			Person		http://example.org/1047979#Agent100-9	
Schemelli, Georg Christian, approximately 1676-1762	n83065669	100	Schemelli, Georg Christian, approximately 1676-1762	n83065669	n83065669	1	Schemelli, Georg Christian, approximately 1676-1762			Person		http://example.org/1047979#Agent700-21	
Roth, Herman, 1882-1938	no89015163	100	Roth, Herman, 1882-1938	no89015163	no89015163	1	Roth, Herman, 1882-1938			Person		http://example.org/1047979#Agent700-22	
Ukrainian Catholic Women's League (Canada) Manitoba Executive			Ukrainian Catholic Women's League (Canada) Manitoba Executive				Ukrainian Catholic Women's League (Canada) Manitoba Executive			Organization		http://example.org/1046568#Agent110-11	
Ukrainian Catholic Women's League (Canada)	n80091652	100	Ukrainian Catholic Women's League (Canada)		n80091652		Ukrainian Catholic Women's League (Canada)	n80091652	1	Organization		http://example.org/1046568#Agent610-22	
Buchynsʹka, Vira			Buchynsʹka, Vira				Buchynsʹka, Vira			Person		http://example.org/1046568#Agent700-24	
Ukrainian Professional and Business Men's Club (Winnipeg, Man.)			Ukrainian Professional and Business Men's Club (Winnipeg, Man.)				Ukrainian Professional and Business Men's Club (Winnipeg, Man.)			Organization		http://example.org/1018585#Agent610-19	
Ukrainian Professional and Business Men's Club (Winnipeg, Man.)			Ukrainian Professional and Business Men's Club (Winnipeg, Man.)				Ukrainian Professional and Business Men's Club (Winnipeg, Man.)			Organization		http://example.org/1018585#Agent710-21	
Ting	n88676108	100	Ting				Ting			Person		http://example.org/1027417#Agent100-11	
Kunz, Linda Ann	nb99158948	100	Kunz, Linda Ann	nb99158948	nb99158948	1	Kunz, Linda Ann			Person		http://example.org/1010264#Agent100-9	
Barry, Félicien, 1899- 			Barry, Félicien, 1899- 				Barry, Félicien, 1899- 			Person		http://example.org/1093775#Agent100-11	
Association littéraire wallonne de Charleroi (Société royale)			Association littéraire wallonne de Charleroi (Société royale)				Association littéraire wallonne de Charleroi (Société royale)			Organization		http://example.org/1093775#Agent610-19	
Jewinski, Hans			Jewinski, Hans				Jewinski, Hans			Person		http://example.org/106184#Agent100-9	
Amman, Jost, 1539-1591	n50021592	100	Amman, Jost, 1539-1591	n50021592	n50021592	0.9565217391	Amman, Jost, 1539-1591			Person		http://example.org/1087110#Agent100-13	
Bowyer, Michael J. F.	n50042879	100	Bowyer, Michael J. F	n50042879	n50042879	0.9	Bowyer, Michael J. F			Person		http://example.org/1069598#Agent100-13	
Great Britain. Royal Air Force No. 2 Bomber Group	nb2006010944	92	Great Britain. Royal Air Force No. 2 Bomber Group				Great Britain. Royal Air Force No. 2 Bomber Group			Jurisdiction		http://example.org/1069598#Agent610-21	
Congress of Polish Science, 2d, Warsaw, 1973			Congress of Polish Science, 2d, Warsaw, 1973				Congress of Polish Science, 2d, Warsaw, 1973			Meeting		http://example.org/1057243#Agent111-9	
Polska Akademia Nauk	n79046197	100	Polska Akademia Nauk		n79046197		Polska Akademia Nauk	n79046197	0.9	Organization		http://example.org/1057243#Agent710-20	
International Conference of Lawyers on Indochina, 2d, Algiers, 1971			International Conference of Lawyers on Indochina, 2d, Algiers, 1971				International Conference of Lawyers on Indochina, 2d, Algiers, 1971			Meeting		http://example.org/1025460#Agent111-11	
International Association of Democratic Lawyers	n50056077	100	International Association of Democratic Lawyers		n50056077		International Association of Democratic Lawyers	n50056077	1	Organization		http://example.org/1025460#Agent710-20	
International Plastics Pipes Symposium, 2d, Southampton, Eng., 1972			International Plastics Pipes Symposium, 2d, Southampton, Eng., 1972				International Plastics Pipes Symposium, 2d, Southampton, Eng., 1972			Meeting		http://example.org/1030302#Agent111-11	
British Plastics Federation	n80036569	100	British Plastics Federation		n80036569		British Plastics Federation	n80036569	0.9259259259	Organization		http://example.org/1030302#Agent710-21	
University of Southampton	n79072767	100	University of Southampton		n79072767		University of Southampton	n79072767	1	Organization		http://example.org/1030302#Agent710-22	
Trevani, Francesco	no93036003	100	Trevani, Francesco	no93036003	no93036003	1	Trevani, Francesco			Person		http://example.org/1041289#Agent100-10	
Kuczynski, Jürgen	n50048712	97	Kuczynski, Jürgen	n50048712	n50048712	0.9411764706	Kuczynski, Jürgen			Person		http://example.org/1026639#Agent100-10	
Collison, Robert Lewis	n50029125	100	Collison, Robert Lewis	n50029125	n50029125	1	Collison, Robert Lewis			Person		http://example.org/1014787#Agent100-11	
Kravitz, Nathan, 1905-	no96018400	100	Kravitz, Nathan, 1905-	no96018400	no96018400	1	Kravitz, Nathan, 1905-			Person		http://example.org/1097668#Agent100-15	
Grobe, Edwin P.	n87808938	100	Grobe, Edwin P	n87808938	n87808938	0.9333333333	Grobe, Edwin P			Person		http://example.org/1060622#Agent100-9	
Le Fevre, Margaret			Le Fevre, Margaret				Le Fevre, Margaret			Person		http://example.org/1057489#Agent100-15	
Walton &amp; Weybridge Local History Society			Walton &amp; Weybridge Local History Society				Walton &amp; Weybridge Local History Society			Organization		http://example.org/1057489#Agent810-25	
Sharp, Richard Malcolm			Sharp, Richard Malcolm				Sharp, Richard Malcolm			Person		http://example.org/1078247#Agent100-9	
Sharp, Vicki F.	n79041515	100	Sharp, Vicki F	n79041515	n79041515	0.9333333333	Sharp, Vicki F			Person		http://example.org/1078247#Agent700-19	
Solza, Anita C			Solza, Anita C				Solza, Anita C			Person		http://example.org/1078247#Agent700-20	
Lavoie, Cécile, 1914-			Lavoie, Cécile, 1914-				Lavoie, Cécile, 1914-			Person		http://example.org/1061353#Agent100-9	
Stuart, Jesse, 1907-	n79018157	82	Stuart, Jesse, 1907-				Stuart, Jesse, 1907-			Person		http://example.org/1007099#Agent100-11	
Dubrovit͡siʹi, Igor ̆Vasilʹevich			Dubrovit͡siʹi, Igor ̆Vasilʹevich				Dubrovit͡siʹi, Igor ̆Vasilʹevich			Person		http://example.org/1071827#Agent100-9	
Orlov, V. V. (Vladimir Vasilʹevich)	n88195451	100	Orlov, V. V. (Vladimir Vasilʹevich)	n88195451	n88195451	1	Orlov, V. V. (Vladimir Vasilʹevich)			Person		http://example.org/1071827#Agent700-19	
Jahn, Janheinz	n50037116	100	Jahn, Janheinz	n50037116	n50037116	0.9333333333	Jahn, Janheinz			Person		http://example.org/1030610#Agent100-10	
Newcombe, H. S. (Henry Sainsbury), 1901-	n50003220	93	Newcombe, H. S. (Henry Sainsbury), 1901-	n50003220	n50003220	0.9090909091	Newcombe, H. S. (Henry Sainsbury), 1901-			Person		http://example.org/1075025#Agent100-11	
Reicha, Anton, 1770-1836	n81018999	100	Reicha, Anton, 1770-1836	n81018999	n81018999	1	Reicha, Anton, 1770-1836			Person		http://example.org/1057973#Agent100-10	
Dunn, Henry W			Dunn, Henry W				Dunn, Henry W			Person		http://example.org/103630#Agent100-11	
Frantz, Joe Bertram, 1917- 	n80010490	90	Frantz, Joe Bertram, 1917- 	n80010490	n80010490	0.8666666667	Frantz, Joe Bertram, 1917- 			Person		http://example.org/1033189#Agent100-10	
Johnson, Lyndon B. (Lyndon Baines), 1908-1973	n80005801	100	Johnson, Lyndon B. (Lyndon Baines), 1908-1973	n80005801	n80005801	1	Johnson, Lyndon B. (Lyndon Baines), 1908-1973			Person		http://example.org/1033189#Agent600-18	
Symposium on High-Speed Aerodynamics and Structures, 3d, San Diego, Calif., 1958			Symposium on High-Speed Aerodynamics and Structures, 3d, San Diego, Calif., 1958				Symposium on High-Speed Aerodynamics and Structures, 3d, San Diego, Calif., 1958			Meeting		http://example.org/1071638#Agent111-9	
General Dynamics Corporation. Convair Division	n50040207	100	General Dynamics Corporation. Convair Division		n50040207		General Dynamics Corporation. Convair Division	n50040207	0.9347826087	Organization		http://example.org/1071638#Agent710-19	
United States. Air Force. Air Research and Development Command	n81047476	100	United States. Air Force. Air Research and Development Command				United States. Air Force. Air Research and Development Command			Jurisdiction		http://example.org/1071638#Agent710-20	
Hempel, John, 1935-	n83055269	100	Hempel, John, 1935-	n83055269	n83055269	1	Hempel, John, 1935-			Person		http://example.org/100960#Agent100-11	
Hollingshead, Rosemary	n86839927	100	Hollingshead, Rosemary	n86839927	n86839927	0.9565217391	Hollingshead, Rosemary			Person		http://example.org/1052120#Agent100-9	
Joudry, Patricia, 1921-	n50038814	100	Joudry, Patricia, 1921-	n50038814	n50038814	0.8518518519	Joudry, Patricia, 1921-			Person		http://example.org/1009289#Agent100-9	
Trevani, Francesco	no93036003	100	Trevani, Francesco	no93036003	no93036003	1	Trevani, Francesco			Person		http://example.org/1041301#Agent100-10	
Flatow, Curth, 1920-2011	n97034116	100	Flatow, Curth, 1920-2011	n97034116	n97034116	1	Flatow, Curth, 1920-2011			Person		http://example.org/107622#Agent100-10	
Pillau, Horst, 1932-	n89611782	100	Pillau, Horst, 1932-	n89611782	n89611782	1	Pillau, Horst, 1932- 			Person		http://example.org/107622#Agent700-18	
Pillau, Horst, 1932-	n89611782	100	Pillau, Horst, 1932-	n89611782	n89611782	1	Pillau, Horst, 1932-			Person		http://example.org/107622#Agent700-19	
